date,rnum,rank,rankInten,rankOldAndNew,movieCd,rnum,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
20170501,1,1,1,OLD,20161726,1,임금님의 사건수첩,2017-04-26,1162464800,30.2,-628081400,-35.1,6764845718,158053,-57650,-26.7,880390,989,4983
20170501,2,2,-1,OLD,20162871,2,특별시민,2017-04-26,1100381300,28.6,-774481100,-41.3,8091173945,149835,-73426,-32.9,1054079,1087,5255
20170501,3,3,0,OLD,20167542,3,분노의 질주: 더 익스트림,2017-04-12,794300600,20.6,-404262500,-33.7,27188379948,106836,-34451,-24.4,3306160,755,2802
20170501,4,4,0,OLD,20161665,4,스머프: 비밀의 숲,2017-04-28,283685000,7.4,-322448100,-53.2,1484945900,41692,-38392,-47.9,201546,537,1176
20170501,5,5,0,OLD,20174165,5,극장판 또봇: 로봇군단의 습격,2017-04-27,97432200,2.5,-90296600,-48.1,549144500,13727,-10020,-42.2,70920,187,415
20170501,6,6,0,OLD,20164721,6,미녀와 야수,2017-03-16,96551700,2.5,-35362900,-26.8,41890552579,13249,-2738,-17.1,5107360,250,411
20170501,7,7,0,OLD,20151227,7,아빠는 딸,2017-04-12,53412500,1.4,-37871000,-41.5,4986082995,7570,-4006,-34.6,637222,300,554
20170501,8,8,0,OLD,20173301,8,"서서평, 천천히 평온하게",2017-04-26,47282900,1.2,-15251100,-24.4,347644200,6683,-1271,-16,47029,194,287
20170501,9,9,0,OLD,20164829,9,나는 부정한다,2017-04-26,18950500,0.5,-4867600,-20.4,109375025,2583,-282,-9.8,13966,92,150
20170501,10,10,3,OLD,20172541,10,오두막,2017-04-20,17456100,0.5,2156000,14.1,392638600,2480,633,34.3,51808,31,51
20170502,1,1,26,OLD,20163603,1,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,1240607700,34.7,1236889700,33267.6,1244337700,148071,147655,35494,148489,1033,2563
20170502,2,2,-1,OLD,20161726,2,임금님의 사건수첩,2017-04-26,746988900,20.9,-415475900,-35.7,7511834618,102367,-55686,-35.2,982757,1038,4284
20170502,3,3,-1,OLD,20162871,3,특별시민,2017-04-26,599428500,16.8,-500952800,-45.5,8690602445,82119,-67716,-45.2,1136198,1134,4327
20170502,4,4,-1,OLD,20167542,4,분노의 질주: 더 익스트림,2017-04-12,465023500,13.0,-329277100,-41.5,27653403448,63166,-43670,-40.9,3369326,725,2169
20170502,5,5,-1,OLD,20161665,5,스머프: 비밀의 숲,2017-04-28,151245900,4.2,-132439100,-46.7,1636191800,23224,-18468,-44.3,224770,508,998
20170502,6,6,0,OLD,20164721,6,미녀와 야수,2017-03-16,61908300,1.7,-34643400,-35.9,41952460879,8490,-4759,-35.9,5115850,215,341
20170502,7,7,0,OLD,20151227,7,아빠는 딸,2017-04-12,40737900,1.1,-12674600,-23.7,5026820895,5963,-1607,-21.2,643185,278,433
20170502,8,8,0,OLD,20173301,8,"서서평, 천천히 평온하게",2017-04-26,35569300,1.0,-11713600,-24.8,383213500,5134,-1549,-23.2,52163,186,267
20170502,9,9,0,NEW,20162722,9,보안관,2017-05-03,42213000,1.2,42213000,100,189085900,5028,5028,100,22154,24,24
20170502,10,10,-5,OLD,20174165,10,극장판 또봇: 로봇군단의 습격,2017-04-27,26019500,0.7,-71412700,-73.3,575164000,3656,-10071,-73.4,74576,159,312
20170503,1,1,0,OLD,20163603,1,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,3708346100,36.2,2467738400,198.9,4952683800,422412,274341,185.3,570901,1166,5365
20170503,2,2,0,NEW,20174061,2,보스 베이비,2017-05-03,1841294400,18.0,1841294400,100,1859070400,237463,237463,100,239685,799,2661
20170503,3,3,6,OLD,20162722,3,보안관,2017-05-03,1707833700,16.7,1665620700,3945.8,1896919600,206706,201678,4011.1,228860,669,2682
20170503,4,4,-2,OLD,20161726,4,임금님의 사건수첩,2017-04-26,1050917600,10.3,303928700,40.7,8562752218,128812,26445,25.8,1111569,640,2177
20170503,5,5,-2,OLD,20162871,5,특별시민,2017-04-26,597927800,5.8,-1500700,-0.3,9288530245,72290,-9829,-12,1208488,597,1849
20170503,6,6,-2,OLD,20167542,6,분노의 질주: 더 익스트림,2017-04-12,465764200,4.5,740700,0.2,28119167648,55437,-7729,-12.2,3424763,451,987
20170503,7,7,-2,OLD,20161665,7,스머프: 비밀의 숲,2017-04-28,311594200,3.0,160348300,106,1947786000,41381,18157,78.2,266151,428,685
20170503,8,8,7,OLD,20173061,8,슈퍼 빼꼼: 스파이 대작전,2017-05-03,145901900,1.4,136645900,1476.3,174497900,20063,18906,1634.1,23695,307,420
20170503,9,9,1,OLD,20174165,9,극장판 또봇: 로봇군단의 습격,2017-04-27,106950100,1.0,80930600,311,682114100,13710,10054,275,88286,150,209
20170503,10,10,0,NEW,20174501,10,오즈의 마법사 2,2017-05-03,54821600,0.5,54821600,100,59453600,7009,7009,100,7588,142,182
20170504,1,1,0,OLD,20163603,1,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,2129890000,31.3,-1578456100,-42.6,7082573800,269106,-153306,-36.3,840007,1154,5308
20170504,2,2,0,OLD,20174061,2,보스 베이비,2017-05-03,1410795500,20.7,-430498900,-23.4,3269865900,202935,-34528,-14.5,442620,863,2743
20170504,3,3,0,OLD,20162722,3,보안관,2017-05-03,1426211000,21.0,-281622700,-16.5,3323130600,193863,-12843,-6.2,422723,758,2864
20170504,4,4,0,OLD,20161726,4,임금님의 사건수첩,2017-04-26,630301700,9.3,-420615900,-40,9193053918,86504,-42308,-32.8,1198073,646,2163
20170504,5,5,1,OLD,20167542,5,분노의 질주: 더 익스트림,2017-04-12,308482800,4.5,-157281400,-33.8,28427650448,41125,-14312,-25.8,3465888,462,1004
20170504,6,6,-1,OLD,20162871,6,특별시민,2017-04-26,263029500,3.9,-334898300,-56,9551559745,35640,-36650,-50.7,1244128,549,1565
