date,rnum,rank,rankInten,rankOldAndNew,movieCd,rnum,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
20170201,1,1,0,OLD,20151228,1,공조,2017-01-18,1416506700,48.0,-852661400,-37.6,41280052269,189579,-114424,-37.6,5049695,1075,5290
20170201,2,2,0,OLD,20151229,2,더 킹,2017-01-18,689402400,23.3,-392808000,-36.3,36908584909,92503,-52101,-36,4502943,909,3982
20170201,3,3,0,OLD,20168688,3,레지던트 이블: 파멸의 날,2017-01-25,224355000,7.6,-142030800,-38.8,4836161073,29001,-18200,-38.6,576181,497,1727
20170201,4,4,0,OLD,20165443,4,모아나,2017-01-12,161084300,5.5,-177537500,-52.4,15297988207,22344,-24702,-52.5,1955388,520,1211
20170201,5,5,0,OLD,20161872,5,너의 이름은.,2017-01-04,132712800,4.5,-79574500,-37.5,27959343056,17774,-10921,-38.1,3472356,425,998
20170201,6,6,21,OLD,20167324,6,라이언,2017-02-01,79505500,2.7,77669500,4230.4,121527100,10688,10382,3392.8,16246,173,803
20170201,7,7,-1,OLD,20167904,7,라라랜드,2016-12-07,66537700,2.3,-24903400,-27.2,26505142128,8823,-3366,-27.6,3167007,218,406
20170201,8,8,-1,OLD,20168154,8,딥워터 호라이즌,2017-01-25,20698300,0.7,-42037400,-67,714396543,2845,-5675,-66.6,91981,218,392
20170201,9,9,-1,OLD,20167285,9,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,2017-01-25,15700700,0.5,-38024200,-70.8,754521200,2283,-5451,-70.5,98994,189,234
20170201,10,10,-1,OLD,20163845,10,터닝메카드W: 블랙미러의 부활,2017-01-18,13028500,0.4,-29444500,-69.3,3013036600,1912,-4108,-68.2,402912,195,251
20170202,1,1,0,OLD,20151228,1,공조,2017-01-18,1306151800,43.3,-110354900,-7.8,42586204069,174342,-15237,-8,5224037,998,5011
20170202,2,2,0,OLD,20151229,2,더 킹,2017-01-18,587350500,19.5,-102051900,-14.8,37495935409,78761,-13742,-14.9,4581704,827,3523
20170202,3,3,82,OLD,20179281,3,컨택트,2017-02-02,407616000,13.5,407604000,3396700,448158800,54584,54582,2729100,59414,509,2223
20170202,4,4,-1,OLD,20168688,4,레지던트 이블: 파멸의 날,2017-01-25,167024200,5.5,-57330800,-25.6,5003185273,21561,-7440,-25.7,597742,446,1341
20170202,5,5,-1,OLD,20165443,5,모아나,2017-01-12,136237500,4.5,-24846800,-15.4,15434225707,19177,-3167,-14.2,1974565,491,1009
20170202,6,6,-1,OLD,20161872,6,너의 이름은.,2017-01-04,99014000,3.3,-33698800,-25.4,28058357056,13249,-4525,-25.5,3485605,363,770
20170202,7,7,-1,OLD,20167324,7,라이언,2017-02-01,57512400,1.9,-21993100,-27.7,179039500,7806,-2882,-27,24052,176,695
20170202,8,8,-1,OLD,20167904,8,라라랜드,2016-12-07,57306300,1.9,-9231400,-13.9,26562448428,7590,-1233,-14,3174597,194,342
20170202,9,9,9,OLD,20150964,9,조작된 도시,2017-02-09,24000000,0.8,18600000,344.4,47716000,3000,2100,233.3,6271,10,10
20170202,10,10,2,OLD,20165822,10,매기스 플랜,2017-01-25,14024700,0.5,609200,4.5,220870800,1869,84,4.7,27614,69,100
20170203,1,1,0,OLD,20151228,1,공조,2017-01-18,1698784568,45.1,392632768,30.1,44284988637,202908,28566,16.4,5426945,1022,5198
20170203,2,2,0,OLD,20151229,2,더 킹,2017-01-18,723431518,19.2,136081018,23.2,38219366927,86879,8118,10.3,4668583,837,3542
20170203,3,3,0,OLD,20179281,3,컨택트,2017-02-02,512632832,13.6,105016832,25.8,960791632,61006,6422,11.8,120420,558,2353
20170203,4,4,0,OLD,20168688,4,레지던트 이블: 파멸의 날,2017-01-25,220219750,5.8,53195550,31.8,5223405023,25268,3707,17.2,623010,468,1394
20170203,5,5,0,OLD,20165443,5,모아나,2017-01-12,153447000,4.1,17209500,12.6,15587672707,19657,480,2.5,1994222,488,1014
20170203,6,6,0,OLD,20161872,6,너의 이름은.,2017-01-04,124687400,3.3,25673400,25.9,28183044456,15053,1804,13.6,3500658,379,796
20170203,7,7,1,OLD,20167904,7,라라랜드,2016-12-07,75353200,2.0,18046900,31.5,26637801628,8818,1228,16.2,3183415,200,365
20170203,8,8,-1,OLD,20167324,8,라이언,2017-02-01,65816000,1.7,8303600,14.4,244855500,8035,229,2.9,32087,185,651
20170203,9,9,13,OLD,20162873,9,레고 배트맨 무비,2017-02-09,25835000,0.7,19397000,301.3,32273000,2690,1850,220.2,3530,11,11
20170203,10,10,0,OLD,20165822,10,매기스 플랜,2017-01-25,15252000,0.4,1227300,8.8,236122800,1779,-90,-4.8,29393,64,98
20170204,1,1,0,OLD,20151228,1,공조,2017-01-18,3758373250,46.0,2059588682,121.2,48043361887,442556,239648,118.1,5869501,1099,5616
20170204,2,2,0,OLD,20151229,2,더 킹,2017-01-18,1428182708,17.5,704751190,97.4,39647549635,168326,81447,93.7,4836909,832,3513
20170204,3,3,0,OLD,20179281,3,컨택트,2017-02-02,1076729150,13.2,564096318,110,2037520782,126370,65364,107.1,246790,605,2414
20170204,4,4,1,OLD,20165443,4,모아나,2017-01-12,591333600,7.2,437886600,285.4,16179006307,73943,54286,276.2,2068165,562,1197
20170204,5,5,-1,OLD,20168688,5,레지던트 이블: 파멸의 날,2017-01-25,405987342,5.0,185767592,84.4,5629392365,46339,21071,83.4,669349,486,1255
20170204,6,6,0,OLD,20161872,6,너의 이름은.,2017-01-04,234927500,2.9,110240100,88.4,28417971956,28466,13413,89.1,3529124,383,743
20170204,7,7,0,OLD,20167904,7,라라랜드,2016-12-07,129415900,1.6,54062700,71.7,26767217528,14872,6054,68.7,3198287,199,360
20170204,8,8,0,OLD,20167324,8,라이언,2017-02-01,122513000,1.5,56697000,86.1,367368500,14480,6445,80.2,46567,205,567
20170204,9,9,0,OLD,20162873,9,레고 배트맨 무비,2017-02-09,101069200,1.2,75234200,291.2,133342200,12534,9844,365.9,16064,276,496
