a0a1a2a3a4a5a6a7a8a9
0a"('관람객그냥 즐겁게 보기엔 좋아요  ', datetime.datetime(2017, 1, 4, 17, 21), '8')"aaaaaaaaa
1a"('관람객그냥 즐겁게 보기엔 좋아요  ', datetime.datetime(2017, 1, 4, 17, 21), '8')"a"('관람객톰 크루즈 조타조아 조쿠나  ', datetime.datetime(2016, 12, 31, 11, 55), '10')"aaaaaaaa
2a"('관람객그냥 즐겁게 보기엔 좋아요  ', datetime.datetime(2017, 1, 4, 17, 21), '8')"a"('관람객톰 크루즈 조타조아 조쿠나  ', datetime.datetime(2016, 12, 31, 11, 55), '10')"a"('관람객전편보단 못한듯, 감점  ', datetime.datetime(2016, 12, 31, 0, 21), '9')"aaaaaaa
3a"('관람객그냥 즐겁게 보기엔 좋아요  ', datetime.datetime(2017, 1, 4, 17, 21), '8')"a"('관람객톰 크루즈 조타조아 조쿠나  ', datetime.datetime(2016, 12, 31, 11, 55), '10')"a"('관람객전편보단 못한듯, 감점  ', datetime.datetime(2016, 12, 31, 0, 21), '9')"a"('뻔한 스토리 뻔한 내용 ..  ', datetime.datetime(2016, 12, 5, 17, 55), '6')"aaaaaa
4a"('관람객그냥 즐겁게 보기엔 좋아요  ', datetime.datetime(2017, 1, 4, 17, 21), '8')"a"('관람객톰 크루즈 조타조아 조쿠나  ', datetime.datetime(2016, 12, 31, 11, 55), '10')"a"('관람객전편보단 못한듯, 감점  ', datetime.datetime(2016, 12, 31, 0, 21), '9')"a"('뻔한 스토리 뻔한 내용 ..  ', datetime.datetime(2016, 12, 5, 17, 55), '6')"a"('친구는 잤는데 난 꽤 잼있게 봤다. 액션이 좀 아쉽긴했지만.  ', datetime.datetime(2016, 12, 5, 17, 47), '8')"aaaaa
5a"('관람객그냥 즐겁게 보기엔 좋아요  ', datetime.datetime(2017, 1, 4, 17, 21), '8')"a"('관람객톰 크루즈 조타조아 조쿠나  ', datetime.datetime(2016, 12, 31, 11, 55), '10')"a"('관람객전편보단 못한듯, 감점  ', datetime.datetime(2016, 12, 31, 0, 21), '9')"a"('뻔한 스토리 뻔한 내용 ..  ', datetime.datetime(2016, 12, 5, 17, 55), '6')"a"('친구는 잤는데 난 꽤 잼있게 봤다. 액션이 좀 아쉽긴했지만.  ', datetime.datetime(2016, 12, 5, 17, 47), '8')"a"('관람객3편은안나올거같네요  ', datetime.datetime(2016, 12, 5, 17, 26), '10')"aaaa
6a"('관람객그냥 즐겁게 보기엔 좋아요  ', datetime.datetime(2017, 1, 4, 17, 21), '8')"a"('관람객톰 크루즈 조타조아 조쿠나  ', datetime.datetime(2016, 12, 31, 11, 55), '10')"a"('관람객전편보단 못한듯, 감점  ', datetime.datetime(2016, 12, 31, 0, 21), '9')"a"('뻔한 스토리 뻔한 내용 ..  ', datetime.datetime(2016, 12, 5, 17, 55), '6')"a"('친구는 잤는데 난 꽤 잼있게 봤다. 액션이 좀 아쉽긴했지만.  ', datetime.datetime(2016, 12, 5, 17, 47), '8')"a"('관람객3편은안나올거같네요  ', datetime.datetime(2016, 12, 5, 17, 26), '10')"a"('올해 본 제이슨본 보다 더 재밌음 ㅠㅠㅠ  ', datetime.datetime(2016, 12, 1, 12, 29), '9')"aaa
7a"('관람객그냥 즐겁게 보기엔 좋아요  ', datetime.datetime(2017, 1, 4, 17, 21), '8')"a"('관람객톰 크루즈 조타조아 조쿠나  ', datetime.datetime(2016, 12, 31, 11, 55), '10')"a"('관람객전편보단 못한듯, 감점  ', datetime.datetime(2016, 12, 31, 0, 21), '9')"a"('뻔한 스토리 뻔한 내용 ..  ', datetime.datetime(2016, 12, 5, 17, 55), '6')"a"('친구는 잤는데 난 꽤 잼있게 봤다. 액션이 좀 아쉽긴했지만.  ', datetime.datetime(2016, 12, 5, 17, 47), '8')"a"('관람객3편은안나올거같네요  ', datetime.datetime(2016, 12, 5, 17, 26), '10')"a"('올해 본 제이슨본 보다 더 재밌음 ㅠㅠㅠ  ', datetime.datetime(2016, 12, 1, 12, 29), '9')"a"('재미없다는 사람 이해안감 존잼이던데  ', datetime.datetime(2016, 12, 1, 11, 52), '10')"aa
8a"('관람객그냥 즐겁게 보기엔 좋아요  ', datetime.datetime(2017, 1, 4, 17, 21), '8')"a"('관람객톰 크루즈 조타조아 조쿠나  ', datetime.datetime(2016, 12, 31, 11, 55), '10')"a"('관람객전편보단 못한듯, 감점  ', datetime.datetime(2016, 12, 31, 0, 21), '9')"a"('뻔한 스토리 뻔한 내용 ..  ', datetime.datetime(2016, 12, 5, 17, 55), '6')"a"('친구는 잤는데 난 꽤 잼있게 봤다. 액션이 좀 아쉽긴했지만.  ', datetime.datetime(2016, 12, 5, 17, 47), '8')"a"('관람객3편은안나올거같네요  ', datetime.datetime(2016, 12, 5, 17, 26), '10')"a"('올해 본 제이슨본 보다 더 재밌음 ㅠㅠㅠ  ', datetime.datetime(2016, 12, 1, 12, 29), '9')"a"('재미없다는 사람 이해안감 존잼이던데  ', datetime.datetime(2016, 12, 1, 11, 52), '10')"a"('관람객지루하않고 재밌게잘보고왔습니다.  ', datetime.datetime(2016, 11, 30, 23, 36), '9')"a
9a"('관람객그냥 즐겁게 보기엔 좋아요  ', datetime.datetime(2017, 1, 4, 17, 21), '8')"a"('관람객톰 크루즈 조타조아 조쿠나  ', datetime.datetime(2016, 12, 31, 11, 55), '10')"a"('관람객전편보단 못한듯, 감점  ', datetime.datetime(2016, 12, 31, 0, 21), '9')"a"('뻔한 스토리 뻔한 내용 ..  ', datetime.datetime(2016, 12, 5, 17, 55), '6')"a"('친구는 잤는데 난 꽤 잼있게 봤다. 액션이 좀 아쉽긴했지만.  ', datetime.datetime(2016, 12, 5, 17, 47), '8')"a"('관람객3편은안나올거같네요  ', datetime.datetime(2016, 12, 5, 17, 26), '10')"a"('올해 본 제이슨본 보다 더 재밌음 ㅠㅠㅠ  ', datetime.datetime(2016, 12, 1, 12, 29), '9')"a"('재미없다는 사람 이해안감 존잼이던데  ', datetime.datetime(2016, 12, 1, 11, 52), '10')"a"('관람객지루하않고 재밌게잘보고왔습니다.  ', datetime.datetime(2016, 11, 30, 23, 36), '9')"a"('관람객짱재밋어요톰크루즈영화믿고보는영화  ', datetime.datetime(2016, 11, 30, 23, 33), '10')"
