movieCd,movieNm,director,Rate
20164721,미녀와 야수,,0
20162181,프리즌,,0
20163194,공각기동대 : 고스트 인 더 쉘,,0
20151230,원라인,,0
20167363,히든 피겨스,,0
20167902,보통사람,,0
20167005,데스노트: 더 뉴 월드,,0
20167364,미스 슬로운,,0
20171661,아기돼지 3형제와 매직램프,,0
20179442,밤의 해변에서 혼자,,0
20171801,극장판 암살교실 : 365일의 시간,,0
20171381,라이프,,0
20167901,어느날,,0
20161923,시간위의 집,,0
20171781,패트리어트 데이,,0
20173444,링스,,0
20162607,슈퍼 버드,,0
20040525,패션 오브 크라이스트,,0
20167542,분노의 질주: 더 익스트림,,0
20151227,아빠는 딸,,0
20173690,흑집사 -북 오브 더 아틀란틱-,,0
20170741,지니어스,,0
20173601,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,,0
20174023,극장판 어드벤처 타임: 비밀의 아일랜드,,0
20161726,임금님의 사건수첩,,0
20162871,특별시민,,0
20162722,보안관,,0
20179662,파워레인져스: 더 비기닝,,0
20172541,오두막,,0
20174561,더 플랜,,0
20172125,파운더,,0
20173121,콜로설,,0
20149317,가디언즈 오브 갤럭시,,0
20172641,마리안느와 마가렛,,0
20173301,"서서평, 천천히 평온하게",,0
20175142,극장판 쿠로코의 농구 라스트 게임,,0
20174165,극장판 또봇: 로봇군단의 습격,,0
20173961,킹 아서: 제왕의 검,,0
20164829,나는 부정한다,,0
20161665,스머프: 비밀의 숲,,0
