movieCd,movieNm,director,Rate
20150971,해빙,,0
20161827,로건,,0
20170241,23 아이덴티티,,0
20166421,재심,,0
20161744,트롤,,0
20158799,눈길,,0
20150964,조작된 도시,,0
20165927,문라이트,,0
20166468,사일런스,,0
20166101,존 윅 - 리로드,,0
20167904,라라랜드,,0
20167363,히든 피겨스,,0
20168183,콩: 스컬 아일랜드,,0
20168750,파도가 지나간 자리,,0
20170761,걸 온 더 트레인,,0
20170509,극장판 소드 아트 온라인 -오디널 스케일-,,0
20162181,프리즌,,0
20164721,미녀와 야수,,0
20167905,비정규직 특수요원,,0
20178942,스페이스 비트윈 어스,,0
20167902,보통사람,,0
20170221,골드,,0
20168742,아우토반,,0
20179442,밤의 해변에서 혼자,,0
20151230,원라인,,0
20171801,극장판 암살교실 : 365일의 시간,,0
20171661,아기돼지 3형제와 매직램프,,0
20170382,개구리왕국 2,,0
20167364,미스 슬로운,,0
20171781,패트리어트 데이,,0
20163194,공각기동대 : 고스트 인 더 쉘,,0
20167005,데스노트: 더 뉴 월드,,0
20167901,어느날,,0
20161923,시간위의 집,,0
20164926,분노,,0
