movieCd,movieNm,director,naver_movieCd,ntz_see_score,spc_score,ntz_score
20174103,배저로와 친구들: 신비한 모험,룬 스파안스,162113.0,6.91,0.0,7.1
20162442,청년경찰,김주환,153652.0,9.03,5.1,8.33
20162869,택시운전사,장훈,146469.0,9.28,6.09,9.05
20164174,브이아이피,박훈정,152170.0,6.87,5.0,6.51
20179491,아토믹 블론드,데이빗 레이치,144215.0,8.05,6.43,7.89
20151003,장산범,허정,137696.0,7.42,5.8,6.16
20179407,로마의 휴일,이덕희,155680.0,7.68,3.0,6.8
20179901,혹성탈출: 종의 전쟁,맷 리브스,143394.0,8.15,7.75,7.92
20179187,공범자들,최승호,165461.0,9.61,6.44,9.13
20179696,그것,안드레스 무시에티,154668.0,7.66,6.6,6.96
20170268,매혹당한 사람들,소피아 코폴라,154267.0,7.77,7.0,6.84
20171022,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,닛타 노리오,167035.0,0.0,0.0,8.03
20171923,저수지 게임,최진성,162824.0,9.69,6.67,9.21
20172148,몬스터 섬의 비밀,레오폴도 아귈라,167103.0,8.25,0.0,7.87
20160703,"좋아해, 너를",이마이즈미 리키야,144213.0,8.25,4.5,8.47
20177541,아메리칸 메이드,더그 라이만,137945.0,7.71,6.67,7.72
20170607,몬스터 콜,후안 안토니오 바요나,125401.0,8.59,6.88,8.57
20170302,윈드 리버,테일러 쉐리던,149757.0,8.52,7.33,8.52
20161481,군함도,류승완,146506.0,7.34,6.17,5.28
20168241,잃어버린 도시 Z,제임스 그레이,70627.0,7.06,6.83,7.06
20173403,슈퍼배드 3,피에르 꼬팽,132626.0,8.76,5.0,8.69
20164621,덩케르크,크리스토퍼 놀란,146480.0,8.62,8.55,8.29
20167303,스파이더맨: 홈 커밍,존 와츠,135874.0,8.83,7.0,8.38
20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,하시모토 마사카즈,156477.0,8.67,0.0,8.65
20174801,내 사랑,에이슬링 월쉬,154437.0,9.17,6.71,9.17
20177181,47 미터,조하네스 로버츠,152616.0,7.33,4.0,7.24
20177501,플립,롭 라이너,76309.0,9.11,6.0,9.2
20175522,카3: 새로운 도전,브라이언 피,152396.0,8.62,5.5,8.51
20170124,명탐정 코난:진홍의 연가,시즈노 코분,159054.0,8.9,6.0,8.8
20179186,이모티: 더 무비,토니 레온디스,158651.0,7.64,7.0,6.35
20161081,애나벨 : 인형의 주인,데이비드 F. 샌드버그,152341.0,7.59,7.0,7.29
20178762,파리로 가는 길,엘레노어 코폴라,154458.0,8.12,5.17,7.9
20178641,빅풋 주니어,제레미 드그루손,165025.0,8.82,0.0,8.87
20179085,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,다카하시 아츠시,153279.0,8.68,6.0,8.85
20170022,다크타워: 희망의 탑,니콜라이 아르셀,146407.0,7.38,4.25,7.36
20165001,더 테이블,김종관,151117.0,8.32,5.5,7.98
20170389,극장판 위 베어 베어스: 곰 브라더스,매니 에르난데스,166083.0,7.65,0.0,7.55
20178982,박열,이준익,155716.0,8.48,6.7,8.09
20166967,트랜스포머: 최후의 기사,마이클 베이,123630.0,6.9,2.83,6.3
