,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
692,닥터 스트레인지,125459,8.3,0.0,8.27
693,로건,117787,7.92,4.5,6.45
694,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,7.66,6.9,7.46
695,장기왕: 가락시장 레볼루션,146530,8.56,5.94,7.94
696,다른 길이 있다,134976,8.69,7.08,8.18
697,퍼스널 쇼퍼,144221,0.0,0.0,0.0
698,비치온더비치,155310,0.0,0.0,5.21
699,아주 긴 변명,154536,0.0,0.0,8.81
700,재심,149512,8.83,5.0,8.27
701,그레이트 월,126034,8.59,6.0,8.38
702,공조,142384,9.02,7.55,8.75
703,트롤,101904,7.31,6.78,6.61
704,싱글라이더,146459,8.58,6.5,8.86
705,핵소 고지,142305,8.88,7.03,8.71
706,"그래, 가족",151192,8.76,0.0,8.86
707,루시드 드림,130713,8.78,5.92,8.31
708,너의 이름은.,150198,0.0,0.0,6.65
709,모아나,130849,0.0,0.0,3.67
710,발레리나,130984,7.42,6.4,7.09
711,존 윅 - 리로드,143932,8.07,6.86,7.91
712,라라랜드,134963,8.87,0.0,8.73
713,밤의 해변에서 혼자,156465,0.0,0.0,4.25
714,미인어,127383,8.18,0.0,6.98
715,해빙,137875,7.77,2.25,7.42
716,마이펫 오지,157500,7.34,6.17,5.28
717,마스터,145162,9.3,6.5,9.18
718,녹터널 애니멀스,143409,9.15,6.38,8.99
719,레고 배트맨 무비,132627,7.94,6.5,7.65
720,극장판 소드 아트 온라인 -오디널 스케일-,159408,8.27,6.47,8.35
721,장기왕: 가락시장 레볼루션,146530,9.42,6.93,9.04
722,스노든,134887,8.81,7.54,8.75
723,언더월드: 블러드 워,137887,8.56,5.22,8.03
724,삼소야적검,151132,0.0,0.0,0.0
725,로건,117787,9.6,0.0,9.39
726,어쌔신 크리드,118307,8.3,0.0,8.27
727,패신저스,116233,7.92,4.5,6.45
728,닥터 스트레인지,125459,7.66,6.9,7.46
729,비치온더비치,155310,9.48,7.0,8.38
730,사일런스,90922,8.56,5.94,7.94
731,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,8.69,7.08,8.18
732,다른 길이 있다,134976,0.0,0.0,0.0
733,레지던트 이블: 파멸의 날,110333,0.0,0.0,8.81
734,"구름의 저편, 약속의 장소",38249,8.7,6.0,8.5
735,더 큐어,143372,9.22,6.4,9.15
736,트롤,101904,8.77,6.5,8.05
737,싱글라이더,146459,8.9,8.34,8.59
738,23 아이덴티티,144927,8.58,6.5,8.86
739,컨택트,136869,8.65,5.77,8.1
740,문라이트,152684,8.88,7.03,8.71
741,루시드 드림,130713,8.76,0.0,8.86
742,존 윅 - 리로드,143932,8.78,5.92,8.31
743,밤의 해변에서 혼자,156465,0.0,0.0,3.67
744,너의 이름은.,150198,7.42,6.4,7.09
745,모아나,130849,9.19,6.0,9.2
746,해빙,137875,8.87,0.0,8.73
747,라라랜드,134963,8.18,0.0,6.98
748,미인어,127383,7.77,2.25,7.42
749,장기왕: 가락시장 레볼루션,146530,9.3,6.5,9.18
750,극장판 소드 아트 온라인 -오디널 스케일-,159408,9.15,6.38,8.99
751,마스터,145162,7.94,6.5,7.65
752,어쌔신 크리드,118307,9.51,6.2,9.25
753,로건,117787,0.0,0.0,6.48
754,레고 배트맨 무비,132627,9.42,6.93,9.04
755,언프렌드,146361,8.81,7.54,8.75
756,비치온더비치,155310,8.56,5.22,8.03
757,언더월드: 블러드 워,137887,9.6,0.0,9.39
758,프리즌,146517,7.92,4.5,6.45
759,"구름의 저편, 약속의 장소",38249,9.48,7.0,8.38
760,다른 길이 있다,134976,8.56,5.94,7.94
761,삼소야적검,151132,8.69,7.08,8.18
762,아주 긴 변명,154536,0.0,0.0,0.0
763,공각기동대 : 고스트 인 더 쉘,134838,0.0,0.0,5.21
764,스노든,134887,0.0,0.0,8.81
765,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,8.7,6.0,8.5
766,싱글라이더,146459,8.77,6.5,8.05
767,23 아이덴티티,144927,8.9,8.34,8.59
768,루시드 드림,130713,8.65,5.77,8.1
769,존 윅 - 리로드,143932,8.39,6.0,8.03
770,50가지 그림자: 심연,144081,8.59,6.88,8.57
771,컨택트,136869,8.76,0.0,8.86
772,밤의 해변에서 혼자,156465,8.78,5.92,8.31
773,트리플 엑스 리턴즈,102278,0.0,0.0,6.65
774,모아나,130849,8.07,6.86,7.91
775,너의 이름은.,150198,9.19,6.0,9.2
776,"그래, 가족",151192,8.87,0.0,8.73
777,발레리나,130984,0.0,0.0,4.25
778,극장판 소드 아트 온라인 -오디널 스케일-,159408,8.18,0.0,6.98
779,어쌔신 크리드,118307,6.64,6.0,6.5
780,로건,117787,7.94,6.5,7.65
781,마스터,145162,9.51,6.2,9.25
782,맨체스터 바이 더 씨,137956,8.27,6.47,8.35
783,녹터널 애니멀스,143409,0.0,0.0,6.48
784,공각기동대 : 고스트 인 더 쉘,134838,8.81,7.54,8.75
785,패신저스,116233,9.6,0.0,9.39
786,레이디버그,157564,7.66,6.9,7.46
787,지금은맞고그때는틀리다,140199,9.48,7.0,8.38
788,언더월드: 블러드 워,137887,8.56,5.94,7.94
789,존 윅,123300,8.69,7.08,8.18
790,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,0.0,0.0,0.0
791,프리즌,146517,0.0,0.0,8.81
792,안해,159554,8.7,6.0,8.5
793,첩보원: 독일군 잠입작전,157450,8.86,5.83,8.73
794,23 아이덴티티,144927,8.59,6.0,8.38
795,싱글라이더,146459,9.22,6.4,9.15
796,공조,142384,8.45,7.29,8.18
797,더 큐어,143372,8.77,6.5,8.05
798,더 킹,144314,8.9,8.34,8.59
799,존 윅 - 리로드,143932,8.58,6.5,8.86
800,루시드 드림,130713,8.39,6.0,8.03
801,컨택트,136869,8.59,6.88,8.57
802,해빙,137875,0.0,0.0,6.65
803,극장판 소드 아트 온라인 -오디널 스케일-,159408,0.0,0.0,3.67
804,어쌔신 크리드,118307,8.87,0.0,8.73
805,장기왕: 가락시장 레볼루션,146530,0.0,0.0,4.25
806,너의 이름은.,150198,8.18,0.0,6.98
807,로건,117787,7.77,2.25,7.42
808,발레리나,130984,0.0,0.0,6.06
809,미인어,127383,6.64,6.0,6.5
810,"그래, 가족",151192,9.15,6.38,8.99
811,얼라이드,149777,7.94,6.5,7.65
812,사일런스,90922,0.0,0.0,6.48
813,"구름의 저편, 약속의 장소",38249,9.42,6.93,9.04
814,패신저스,116233,8.56,5.22,8.03
815,언프렌드,146361,0.0,0.0,0.0
816,녹터널 애니멀스,143409,9.6,0.0,9.39
817,아이보이,158563,8.3,0.0,8.27
818,실종: 택시 납치 사건,137904,7.92,4.5,6.45
819,안해,159554,7.66,6.9,7.46
820,레이디버그,157564,9.48,7.0,8.38
821,존 윅,123300,8.56,5.94,7.94
822,지금은맞고그때는틀리다,140199,0.0,0.0,0.0
823,콩: 스컬 아일랜드,127397,0.0,0.0,5.21
824,눈길,134772,0.0,0.0,8.81
825,레고 배트맨 무비,132627,8.7,6.0,8.5
826,단지 세상의 끝,137958,8.86,5.83,8.73
827,싱글라이더,146459,9.02,7.55,8.75
828,공조,142384,9.22,6.4,9.15
829,그레이트 월,126034,8.45,7.29,8.18
830,존 윅 - 리로드,143932,8.9,8.34,8.59
831,루시드 드림,130713,7.31,6.78,6.61
832,더 킹,144314,8.58,6.5,8.86
833,더 큐어,143372,8.65,5.77,8.1
834,트롤,101904,8.39,6.0,8.03
835,극장판 소드 아트 온라인 -오디널 스케일-,159408,8.59,6.88,8.57
836,해빙,137875,8.76,0.0,8.86
837,컨택트,136869,8.78,5.92,8.31
838,어쌔신 크리드,118307,7.42,6.4,7.09
839,장기왕: 가락시장 레볼루션,146530,8.07,6.86,7.91
840,로건,117787,9.19,6.0,9.2
841,트리플 엑스 리턴즈,102278,0.0,0.0,4.25
842,모아나,130849,7.77,2.25,7.42
843,"그래, 가족",151192,6.64,6.0,6.5
844,미인어,127383,9.15,6.38,8.99
845,발레리나,130984,9.51,6.2,9.25
846,"구름의 저편, 약속의 장소",38249,8.27,6.47,8.35
847,마스터,145162,0.0,0.0,6.48
848,아이보이,158563,9.42,6.93,9.04
849,실종: 택시 납치 사건,137904,8.81,7.54,8.75
850,맨체스터 바이 더 씨,137956,0.0,0.0,0.0
851,공각기동대 : 고스트 인 더 쉘,134838,9.6,0.0,9.39
852,레이디버그,157564,8.3,0.0,8.27
853,존 윅,123300,7.92,4.5,6.45
854,눈길,134772,9.48,7.0,8.38
855,녹터널 애니멀스,143409,8.56,5.94,7.94
856,안해,159554,8.69,7.08,8.18
857,콩: 스컬 아일랜드,127397,0.0,0.0,0.0
858,눈발,145160,0.0,0.0,8.81
859,프리즌,146517,8.86,5.83,8.73
860,23 아이덴티티,144927,8.39,6.83,8.08
861,핵소 고지,142305,9.22,6.4,9.15
862,존 윅 - 리로드,143932,8.45,7.29,8.18
863,공조,142384,8.77,6.5,8.05
864,루시드 드림,130713,8.9,8.34,8.59
865,더 킹,144314,8.65,5.77,8.1
866,문라이트,152684,8.39,6.0,8.03
867,어쌔신 크리드,118307,0.0,0.0,6.65
868,컨택트,136869,0.0,0.0,3.67
869,로건,117787,7.42,6.4,7.09
870,50가지 그림자: 심연,144081,8.07,6.86,7.91
871,라라랜드,134963,9.19,6.0,9.2
872,장기왕: 가락시장 레볼루션,146530,8.87,0.0,8.73
873,너의 이름은.,150198,0.0,0.0,4.25
874,사일런스,90922,8.18,0.0,6.98
875,"그래, 가족",151192,7.77,2.25,7.42
876,실종: 택시 납치 사건,137904,7.34,6.17,5.28
877,모아나,130849,0.0,0.0,6.06
878,아이보이,158563,6.64,6.0,6.5
879,트리플 엑스 리턴즈,102278,9.3,6.5,9.18
880,"구름의 저편, 약속의 장소",38249,9.15,6.38,8.99
881,마이펫 오지,157500,7.94,6.5,7.65
882,패신저스,116233,9.51,6.2,9.25
883,미인어,127383,8.27,6.47,8.35
884,얼라이드,149777,0.0,0.0,6.48
885,마스터,145162,8.81,7.54,8.75
886,레이디버그,157564,8.56,5.22,8.03
887,눈길,134772,0.0,0.0,0.0
888,존 윅,123300,9.6,0.0,9.39
889,공각기동대 : 고스트 인 더 쉘,134838,7.92,4.5,6.45
890,콩: 스컬 아일랜드,127397,9.48,7.0,8.38
891,마영정: 상해야인시대,102638,8.56,5.94,7.94
892,눈발,145160,8.69,7.08,8.18
893,비정규직 특수요원,152161,0.0,0.0,5.21
894,아이덴티티,36992,0.0,0.0,8.81
895,스페이스 워,158452,8.7,6.0,8.5
896,재키,144990,8.86,5.83,8.73
897,23 아이덴티티,144927,8.83,5.0,8.27
898,싱글라이더,146459,8.59,6.0,8.38
899,루시드 드림,130713,8.77,6.5,8.05
900,공조,142384,8.9,8.34,8.59
901,극장판 소드 아트 온라인 -오디널 스케일-,159408,8.58,6.5,8.86
902,해빙,137875,8.88,7.03,8.71
903,더 킹,144314,8.59,6.88,8.57
904,로건,117787,8.76,0.0,8.86
905,더 큐어,143372,8.78,5.92,8.31
906,사일런스,90922,7.42,6.4,7.09
907,실종: 택시 납치 사건,137904,9.19,6.0,9.2
908,아이보이,158563,8.87,0.0,8.73
909,"그래, 가족",151192,8.18,0.0,6.98
910,너의 이름은.,150198,7.34,6.17,5.28
911,"구름의 저편, 약속의 장소",38249,0.0,0.0,6.06
912,장기왕: 가락시장 레볼루션,146530,6.64,6.0,6.5
913,패신저스,116233,9.3,6.5,9.18
914,눈길,134772,9.15,6.38,8.99
915,모아나,130849,7.94,6.5,7.65
916,레이디버그,157564,9.51,6.2,9.25
917,존 윅,123300,8.27,6.47,8.35
918,비정규직 특수요원,152161,0.0,0.0,6.48
919,트리플 엑스 리턴즈,102278,9.42,6.93,9.04
920,미인어,127383,8.81,7.54,8.75
921,마이펫 오지,157500,8.56,5.22,8.03
922,마스터,145162,0.0,0.0,0.0
923,얼라이드,149777,9.6,0.0,9.39
924,마영정: 상해야인시대,102638,7.66,6.9,7.46
925,맨체스터 바이 더 씨,137956,9.48,7.0,8.38
926,콩: 스컬 아일랜드,127397,8.56,5.94,7.94
927,녹터널 애니멀스,143409,8.7,6.0,8.5
928,커피메이트,146450,8.86,5.83,8.73
929,핵소 고지,142305,9.02,7.55,8.75
930,조작된 도시,127382,9.22,6.4,9.15
931,문라이트,152684,8.9,8.34,8.59
932,공조,142384,7.31,6.78,6.61
933,그레이트 월,126034,8.65,5.77,8.1
934,로건,117787,8.59,6.88,8.57
935,더 킹,144314,8.76,0.0,8.86
936,사일런스,90922,0.0,0.0,6.65
937,더 큐어,143372,0.0,0.0,3.67
938,컨택트,136869,7.42,6.4,7.09
939,실종: 택시 납치 사건,137904,8.07,6.86,7.91
940,어쌔신 크리드,118307,9.19,6.0,9.2
941,"구름의 저편, 약속의 장소",38249,0.0,0.0,4.25
942,눈길,134772,8.18,0.0,6.98
943,레이디버그,157564,7.34,6.17,5.28
944,패신저스,116233,0.0,0.0,6.06
945,존 윅,123300,6.64,6.0,6.5
946,비정규직 특수요원,152161,9.3,6.5,9.18
947,너의 이름은.,150198,9.15,6.38,8.99
948,맨체스터 바이 더 씨,137956,7.94,6.5,7.65
949,50가지 그림자: 심연,144081,9.51,6.2,9.25
950,밤의 해변에서 혼자,156465,8.27,6.47,8.35
951,마영정: 상해야인시대,102638,0.0,0.0,6.48
952,모아나,130849,9.42,6.93,9.04
953,눈발,145160,8.56,5.22,8.03
954,장기왕: 가락시장 레볼루션,146530,9.6,0.0,9.39
955,마스터,145162,8.3,0.0,8.27
956,미인어,127383,7.92,4.5,6.45
957,아이덴티티,36992,7.66,6.9,7.46
958,발레리나,130984,9.48,7.0,8.38
959,얼라이드,149777,8.56,5.94,7.94
960,재키,144990,8.69,7.08,8.18
961,시티 워: 익스트림 킬러,138370,0.0,0.0,0.0
962,커피메이트,146450,0.0,0.0,5.21
963,마이펫 오지,157500,0.0,0.0,8.81
964,걸 온 더 트레인,142255,8.7,6.0,8.5
965,라이언,134841,8.86,5.83,8.73
966,존 윅 - 리로드,143932,9.22,6.4,9.15
967,조작된 도시,127382,8.45,7.29,8.18
968,로건,117787,8.65,5.77,8.1
969,해빙,137875,8.39,6.0,8.03
970,트롤,101904,8.88,7.03,8.71
971,그레이트 월,126034,8.59,6.88,8.57
972,사일런스,90922,8.76,0.0,8.86
973,더 킹,144314,0.0,0.0,6.65
974,실종: 택시 납치 사건,137904,0.0,0.0,3.67
975,눈길,134772,7.42,6.4,7.09
976,"구름의 저편, 약속의 장소",38249,8.07,6.86,7.91
977,컨택트,136869,9.19,6.0,9.2
978,어쌔신 크리드,118307,0.0,0.0,4.25
979,아이보이,158563,8.18,0.0,6.98
980,레이디버그,157564,7.77,2.25,7.42
981,패신저스,116233,7.34,6.17,5.28
982,맨체스터 바이 더 씨,137956,0.0,0.0,6.06
983,존 윅,123300,9.3,6.5,9.18
984,마영정: 상해야인시대,102638,9.15,6.38,8.99
985,비정규직 특수요원,152161,7.94,6.5,7.65
986,눈발,145160,9.51,6.2,9.25
987,너의 이름은.,150198,8.27,6.47,8.35
988,콩: 스컬 아일랜드,127397,0.0,0.0,6.48
989,간츠:O,153729,9.42,6.93,9.04
990,밤의 해변에서 혼자,156465,8.81,7.54,8.75
991,시티 워: 익스트림 킬러,138370,8.56,5.22,8.03
992,아이덴티티,36992,0.0,0.0,0.0
993,옥자,143435,9.6,0.0,9.39
994,커피메이트,146450,8.3,0.0,8.27
995,모아나,130849,7.92,4.5,6.45
996,50가지 그림자: 심연,144081,7.66,6.9,7.46
997,마스터,145162,9.48,7.0,8.38
998,특이점이 온 영화,155563,8.56,5.94,7.94
999,걸 온 더 트레인,142255,8.69,7.08,8.18
1000,재키,144990,0.0,0.0,0.0
1001,미인어,127383,0.0,0.0,5.21
1002,미녀와 야수,136872,0.0,0.0,8.81
1003,장기왕: 가락시장 레볼루션,146530,8.86,5.83,8.73
