,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
293,뚜르: 내 생애 최고의 49일,142304,7.42,6.4,7.09
294,재심,149512,8.07,6.86,7.91
295,맛있는 워킹걸,158764,9.19,6.0,9.2
296,그레이트 월,126034,8.87,0.0,8.73
297,얼라이드,149777,0.0,0.0,4.25
298,해빙,137875,8.18,0.0,6.98
299,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,7.77,2.25,7.42
300,핵소 고지,142305,7.34,6.17,5.28
301,여교사,139673,6.64,6.0,6.5
302,레고 배트맨 무비,132627,9.3,6.5,9.18
303,멜라니: 인류의 마지막 희망인 소녀,144986,9.51,6.2,9.25
304,매기스 플랜,136859,8.27,6.47,8.35
305,언프렌드,146361,9.42,6.93,9.04
306,빌리 린스 롱 하프타임 워크,136849,8.56,5.22,8.03
307,터닝메카드W: 블랙미러의 부활,155484,0.0,0.0,0.0
308,발레리나,130984,8.3,0.0,8.27
309,아무도 모른다,38546,7.92,4.5,6.45
310,판도라,132933,7.66,6.9,7.46
311,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050,9.48,7.0,8.38
312,사랑하기 때문에,140010,8.69,7.08,8.18
313,녹터널 애니멀스,143409,0.0,0.0,0.0
314,닥터 스트레인지,125459,0.0,0.0,5.21
315,극장판 소드 아트 온라인 -오디널 스케일-,159408,8.7,6.0,8.5
316,블랙,68567,8.86,5.83,8.73
317,조작된 도시,127382,9.02,7.55,8.75
318,레지던트 이블: 파멸의 날,110333,9.22,6.4,9.15
319,트리플 엑스 리턴즈,102278,8.9,8.34,8.59
320,모아나,130849,8.58,6.5,8.86
321,라라랜드,134963,8.65,5.77,8.1
322,스노든,134887,8.76,0.0,8.86
323,핵소 고지,142305,8.78,5.92,8.31
324,23 아이덴티티,144927,0.0,0.0,6.65
325,퍼스널 쇼퍼,144221,0.0,0.0,3.67
326,재심,149512,7.42,6.4,7.09
327,딥워터 호라이즌,137346,8.07,6.86,7.91
328,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,8.87,0.0,8.73
329,레고 배트맨 무비,132627,0.0,0.0,4.25
330,그레이트 월,126034,8.18,0.0,6.98
331,사일런스,90922,7.77,2.25,7.42
332,맛있는 워킹걸,158764,7.34,6.17,5.28
333,뚜르: 내 생애 최고의 49일,142304,0.0,0.0,6.06
334,얼라이드,149777,6.64,6.0,6.5
335,언프렌드,146361,9.15,6.38,8.99
336,여교사,139673,7.94,6.5,7.65
337,녹터널 애니멀스,143409,8.27,6.47,8.35
338,발레리나,130984,9.42,6.93,9.04
339,빌리 린스 롱 하프타임 워크,136849,8.81,7.54,8.75
340,매기스 플랜,136859,8.56,5.22,8.03
341,루시드 드림,130713,9.6,0.0,9.39
342,싱글라이더,146459,8.3,0.0,8.27
343,사랑의 시대,146374,7.66,6.9,7.46
344,판도라,132933,9.48,7.0,8.38
345,아무도 모른다,38546,8.56,5.94,7.94
346,"구름의 저편, 약속의 장소",38249,0.0,0.0,0.0
347,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050,0.0,0.0,5.21
348,닥터 스트레인지,125459,0.0,0.0,8.81
349,섹스돌,158738,8.86,5.83,8.73
350,조작된 도시,127382,8.59,6.0,8.38
351,더 킹,144314,9.02,7.55,8.75
352,트리플 엑스 리턴즈,102278,9.22,6.4,9.15
353,레지던트 이블: 파멸의 날,110333,8.77,6.5,8.05
354,패신저스,116233,8.9,8.34,8.59
355,50가지 그림자: 심연,144081,7.31,6.78,6.61
356,라라랜드,134963,8.39,6.0,8.03
