movieCd,movieNm,director,Rate
20151228,공조,,0
20151229,더 킹,,0
20168688,레지던트 이블: 파멸의 날,,0
20165443,모아나,,0
20161872,너의 이름은.,,0
20167324,라이언,,0
20167904,라라랜드,,0
20168154,딥워터 호라이즌,,0
20167285,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,,0
20163845,터닝메카드W: 블랙미러의 부활,,0
20179281,컨택트,,0
20150964,조작된 도시,,0
20165822,매기스 플랜,,0
20162873,레고 배트맨 무비,,0
20154342,뚜르: 내 생애 최고의 49일,,0
20167644,발레리나,,0
20167716,트리플 엑스 리턴즈,,0
20178881,명탐정 코난: 에피소드 원-작아진 명탐정,,0
20161141,50가지 그림자: 심연,,0
20166421,재심,,0
20163580,그레이트 월,,0
20167362,더 큐어,,0
20161366,"그래, 가족",,0
20161744,트롤,,0
20167906,마이펫 오지,,0
20170241,23 아이덴티티,,0
20161723,싱글라이더,,0
20166101,존 윅 - 리로드,,0
20156562,루시드 드림,,0
20167922,핵소 고지,,0
20170509,극장판 소드 아트 온라인 -오디널 스케일-,,0
20165927,문라이트,,0
20161827,로건,,0
20166468,사일런스,,0
