movieCd,movieNm,director,Rate
20161726,임금님의 사건수첩,,0
20162871,특별시민,,0
20167542,분노의 질주: 더 익스트림,,0
20161665,스머프: 비밀의 숲,,0
20174165,극장판 또봇: 로봇군단의 습격,,0
20164721,미녀와 야수,,0
20151227,아빠는 딸,,0
20173301,"서서평, 천천히 평온하게",,0
20164829,나는 부정한다,,0
20172541,오두막,,0
20163603,가디언즈 오브 갤럭시 VOL. 2,,0
20162722,보안관,,0
20174061,보스 베이비,,0
20173061,슈퍼 빼꼼: 스파이 대작전,,0
20174501,오즈의 마법사 2,,0
20175142,극장판 쿠로코의 농구 라스트 게임,,0
20170321,목소리의 형태,,0
20156708,석조저택 살인사건,,0
20163185,언노운 걸,,0
20179382,에이리언: 커버넌트,,0
20164844,불한당: 나쁜 놈들의 세상,,0
20173961,킹 아서: 제왕의 검,,0
20175262,겟 아웃,,0
20174721,로스트 인 파리,,0
20172522,정글북,,0
20174602,노무현입니다,,0
20170982,캐리비안의 해적: 죽은 자는 말이 없다,,0
20174644,길,,0
20173642,너와 100번째 사랑,,0
20169348,대립군,,0
20168261,원더 우먼,,0
20174803,7번째 내가 죽던 날,,0
20175461,암살교실: 졸업편,,0
