Unnamed: 0,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
213,"그 시절, 우리가 좋아했던 소녀",88669,9.27,6.0,9.18
214,너의 이름은.,150198,8.65,5.77,8.1
215,마스터,145162,8.34,7.16,8.44
216,패신저스,116233,8.99,6.71,8.96
217,씽,144938,8.78,5.92,8.31
218,라라랜드,134963,8.8,5.44,8.68
219,여교사,139673,9.02,7.55,8.75
220,판도라,132933,8.53,6.72,8.37
221,눈의 여왕3: 눈과 불의 마법대결,156675,8.91,4.55,8.34
222,어쌔신 크리드,118307,8.05,6.25,7.93
223,미씽: 사라진 여자,142625,8.73,6.38,8.8
224,루돌프와 많이있어,153951,8.39,6.0,8.03
225,더 킹,144314,7.53,4.0,4.31
226,잭 리처: 네버 고 백,119412,8.69,7.08,8.18
227,딥워터 호라이즌,137346,8.97,7.5,8.71
228,얼라이드,149777,8.86,8.75,8.76
229,공조,142384,9.28,8.4,9.25
230,내 남편의 가정교사,158788,8.15,4.0,8.3
231,맥스 스틸,129002,8.95,0.0,9.04
232,졸업반,157493,10.0,0.0,6.05
233,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,152265,9.14,6.0,9.02
234,형,142803,9.27,0.0,9.03
235,미인어,127383,6.74,2.5,5.83
236,"내 어깨 위 고양이, 밥",154379,9.44,6.0,8.68
237,에곤 쉴레: 욕망이 그린 그림,154307,0.0,0.0,6.9
238,언어의 정원,106335,8.13,4.88,7.15
239,아브릴과 조작된 세계,122917,7.29,5.67,7.1
240,원피스 필름 골드,146214,8.77,6.5,8.15
241,"나, 다니엘 블레이크",150376,8.93,7.0,7.47
242,반지의 제왕: 반지 원정대,31794,9.36,0.0,9.17
243,초속5센티미터,66820,7.75,8.5,8.9
244,하이큐!! 승자와 패자,155963,7.96,6.0,7.94
245,최후의 Z,102805,9.12,6.78,8.95
246,어카운턴트,134859,8.21,7.55,7.76
247,극장판 도라에몽:신 진구의 버스 오브 재팬,141675,8.34,0.0,8.57
248,신비한 동물사전,115642,8.77,6.5,8.05
249,문영,144578,8.83,7.0,8.74
250,목숨 건 연애,142263,9.6,7.67,9.31
251,너브,137938,0.0,0.0,0.0
252,군함도,146506,8.83,5.0,8.27
253,"무현, 두 도시 이야기",152183,8.58,6.5,8.86
254,더 큐어,143372,9.27,6.0,9.18
255,패신저스,116233,8.9,8.34,8.59
256,로그 원: 스타워즈 스토리,136868,8.99,6.71,8.96
257,여교사,139673,8.78,5.92,8.31
258,씽,144938,9.02,7.55,8.75
259,사랑하기 때문에,140010,8.03,5.5,7.95
260,"당신, 거기 있어줄래요",145292,7.31,6.78,6.61
261,더 킹,144314,8.73,6.38,8.8
262,딥워터 호라이즌,137346,8.74,0.0,8.75
263,스와핑 하던 날,155084,7.53,4.0,4.31
264,루돌프와 많이있어,153951,8.69,7.08,8.18
265,미씽: 사라진 여자,142625,8.97,7.5,8.71
