Unnamed: 0,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
596,동창회의 목적: 더 비기닝,153423,0.0,0.0,5.22
597,별을 쫓는 아이:아가르타의 전설,84505,8.34,0.0,8.57
598,스와핑 하던 날,155084,8.77,6.5,8.05
599,반지의 제왕: 반지 원정대,31794,7.71,6.0,7.47
600,빌리 엘리어트,31013,10.0,4.0,6.46
601,미씽: 사라진 여자,142625,8.83,7.0,8.74
602,소시민,123678,9.6,7.67,9.31
603,로봇 오버로드,119448,0.0,0.0,0.0
604,반지의 제왕: 두 개의 탑,31795,8.83,5.0,8.27
605,무림강호: 영웅불패의 신화,157483,0.0,0.0,0.0
606,더 킹 오브 엠파이어,141447,8.58,6.5,8.86
607,모아나,130849,8.9,8.34,8.59
608,얼라이드,149777,8.99,6.71,8.96
609,더 킹,144314,8.8,5.44,8.68
610,패신저스,116233,9.02,7.55,8.75
611,라라랜드,134963,8.53,6.72,8.37
612,공조,142384,8.03,5.5,7.95
613,녹터널 애니멀스,143409,8.91,4.55,8.34
614,씽,144938,8.05,6.25,7.93
615,레지던트 이블: 파멸의 날,110333,8.73,6.38,8.8
616,여교사,139673,8.74,0.0,8.75
617,눈의 여왕3: 눈과 불의 마법대결,156675,7.53,4.0,4.31
618,로그 원: 스타워즈 스토리,136868,8.69,7.08,8.18
619,더 걸 온 더 트레인,142255,8.97,7.5,8.71
620,신비한 동물사전,115642,9.28,8.4,9.25
621,"당신, 거기 있어줄래요",145292,8.15,4.0,8.3
622,딥워터 호라이즌,137346,10.0,0.0,6.05
623,7년-그들이 없는 언론,146526,9.14,6.0,9.02
624,컨택트,136869,9.27,0.0,9.03
625,단지 세상의 끝,137958,9.44,6.0,8.68
626,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,0.0,0.0,6.9
627,터닝메카드W: 블랙미러의 부활,155484,8.77,6.5,8.15
628,택시 3,36818,8.93,7.0,7.47
629,반지의 제왕: 두 개의 탑,31795,9.36,0.0,9.17
630,로봇 오버로드,119448,7.75,8.5,8.9
631,빌리 엘리어트,31013,7.96,6.0,7.94
632,동창회의 목적: 더 비기닝,153423,9.12,6.78,8.95
633,재심,149512,0.0,0.0,5.22
634,싱글라이더,146459,8.77,6.5,8.05
635,사다코 대 카야코,149283,7.71,6.0,7.47
636,도쿄 연애사건,144188,10.0,4.0,6.46
637,소시민,123678,0.0,0.0,0.0
638,사일런스,90922,8.83,5.0,8.27
639,모아나,130849,8.34,7.16,8.44
640,어쌔신 크리드,118307,8.9,8.34,8.59
641,더 킹,144314,8.99,6.71,8.96
642,마스터,145162,8.8,5.44,8.68
643,공조,142384,9.02,7.55,8.75
644,레지던트 이블: 파멸의 날,110333,8.91,4.55,8.34
645,씽,144938,8.74,0.0,8.75
646,여교사,139673,8.39,6.0,8.03
647,컨택트,136869,8.97,7.5,8.71
648,단지 세상의 끝,137958,8.39,6.83,8.08
649,신비한 동물사전,115642,8.86,8.75,8.76
650,문영,144578,9.28,8.4,9.25
651,초속5센티미터,66820,8.15,4.0,8.3
652,터닝메카드W: 블랙미러의 부활,155484,8.95,0.0,9.04
653,다른 길이 있다,134976,10.0,0.0,6.05
654,"당신, 거기 있어줄래요",145292,9.14,6.0,9.02
655,딥워터 호라이즌,137346,9.27,0.0,9.03
656,더 걸 온 더 트레인,142255,6.74,2.5,5.83
657,언어의 정원,106335,9.44,6.0,8.68
658,여자전쟁: 여자의 이유,143478,0.0,0.0,6.9
659,7년-그들이 없는 언론,146526,8.13,4.88,7.15
660,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,7.29,5.67,7.1
661,로봇 오버로드,119448,8.77,6.5,8.15
662,빌리 엘리어트,31013,8.93,7.0,7.47
663,너브,137938,9.36,0.0,9.17
664,택시 3,36818,7.75,8.5,8.9
665,도쿄 연애사건,144188,7.96,6.0,7.94
666,반지의 제왕: 두 개의 탑,31795,9.12,6.78,8.95
667,동창회의 목적: 더 비기닝,153423,8.21,7.55,7.76
668,시간을 달리는 소녀,63513,0.0,0.0,5.22
669,싱글라이더,146459,8.34,0.0,8.57
670,50가지 그림자: 심연,144081,8.77,6.5,8.05
671,더 리더: 책 읽어주는 남자,45298,7.71,6.0,7.47
672,별을 쫓는 아이:아가르타의 전설,84505,10.0,4.0,6.46
673,스노든,134887,8.83,7.0,8.74
674,사일런스,90922,9.6,7.67,9.31
675,아우토반,110379,0.0,0.0,0.0
676,사다코 대 카야코,149283,8.83,5.0,8.27
677,미씽: 사라진 여자,142625,0.0,0.0,0.0
678,재심,149512,8.58,6.5,8.86
679,조작된 도시,127382,9.27,6.0,9.18
680,더 킹,144314,8.34,7.16,8.44
681,씽,144938,8.39,6.0,8.03
682,컨택트,136869,7.53,4.0,4.31
683,단지 세상의 끝,137958,8.69,7.08,8.18
684,눈의 여왕3: 눈과 불의 마법대결,156675,8.97,7.5,8.71
685,터닝메카드W: 블랙미러의 부활,155484,8.86,8.75,8.76
686,로그 원: 스타워즈 스토리,136868,9.28,8.4,9.25
687,다른 길이 있다,134976,8.15,4.0,8.3
688,딥워터 호라이즌,137346,8.95,0.0,9.04
689,초속5센티미터,66820,10.0,0.0,6.05
690,문영,144578,9.14,6.0,9.02
691,로봇 오버로드,119448,9.27,0.0,9.03
692,언어의 정원,106335,6.74,2.5,5.83
693,"당신, 거기 있어줄래요",145292,9.44,6.0,8.68
694,여자전쟁: 여자의 이유,143478,8.13,4.88,7.15
695,빌리 엘리어트,31013,8.77,6.5,8.15
696,50가지 그림자: 심연,144081,9.36,0.0,9.17
697,아우토반,110379,7.75,8.5,8.9
698,너브,137938,7.96,6.0,7.94
699,더 리더: 책 읽어주는 남자,45298,9.12,6.78,8.95
700,도쿄 연애사건,144188,0.0,0.0,5.22
701,스노든,134887,8.77,6.5,8.05
702,반지의 제왕: 두 개의 탑,31795,10.0,4.0,6.46
703,잭 리처: 네버 고 백,119412,8.83,7.0,8.74
704,동창회의 목적: 더 비기닝,153423,9.6,7.67,9.31
705,사일런스,90922,0.0,0.0,0.0
706,"나, 다니엘 블레이크",150376,8.58,6.5,8.86
707,공조,142384,8.9,8.34,8.59
708,어쌔신 크리드,118307,8.78,5.92,8.31
709,얼라이드,149777,9.02,7.55,8.75
710,패신저스,116233,7.31,6.78,6.61
711,컨택트,136869,8.91,4.55,8.34
712,레지던트 이블: 파멸의 날,110333,8.05,6.25,7.93
713,여교사,139673,8.73,6.38,8.8
714,단지 세상의 끝,137958,8.74,0.0,8.75
715,씽,144938,8.69,7.08,8.18
716,터닝메카드W: 블랙미러의 부활,155484,8.97,7.5,8.71
717,다른 길이 있다,134976,8.86,8.75,8.76
718,로봇 오버로드,119448,8.15,4.0,8.3
719,눈의 여왕3: 눈과 불의 마법대결,156675,8.95,0.0,9.04
720,로그 원: 스타워즈 스토리,136868,10.0,0.0,6.05
721,초속5센티미터,66820,9.14,6.0,9.02
722,언어의 정원,106335,9.27,0.0,9.03
723,"당신, 거기 있어줄래요",145292,6.74,2.5,5.83
724,문영,144578,9.44,6.0,8.68
725,빌리 엘리어트,31013,0.0,0.0,6.9
726,아우토반,110379,7.29,5.67,7.1
727,더 리더: 책 읽어주는 남자,45298,8.77,6.5,8.15
728,50가지 그림자: 심연,144081,8.93,7.0,7.47
729,더 걸 온 더 트레인,142255,9.36,0.0,9.17
730,여자전쟁: 여자의 이유,143478,7.75,8.5,8.9
731,싱글라이더,146459,7.96,6.0,7.94
732,잭 리처: 네버 고 백,119412,9.12,6.78,8.95
733,7년-그들이 없는 언론,146526,8.21,7.55,7.76
734,스노든,134887,0.0,0.0,5.22
735,재키,144990,8.34,0.0,8.57
736,조작된 도시,127382,8.77,6.5,8.05
737,너브,137938,7.71,6.0,7.47
738,사일런스,90922,10.0,4.0,6.46
739,시간을 달리는 소녀,63513,8.83,7.0,8.74
740,재심,149512,9.6,7.67,9.31
741,별을 쫓는 아이:아가르타의 전설,84505,0.0,0.0,0.0
742,반지의 제왕: 왕의 귀환,31796,8.83,5.0,8.27
743,도쿄 연애사건,144188,0.0,0.0,0.0
744,더 킹,144314,8.65,5.77,8.1
745,어쌔신 크리드,118307,8.8,5.44,8.68
746,라라랜드,134963,8.03,5.5,7.95
747,컨택트,136869,7.31,6.78,6.61
748,터닝메카드W: 블랙미러의 부활,155484,8.05,6.25,7.93
749,패신저스,116233,8.73,6.38,8.8
750,신비한 동물사전,115642,8.39,6.0,8.03
751,여교사,139673,7.53,4.0,4.31
752,다른 길이 있다,134976,8.39,6.83,8.08
753,로봇 오버로드,119448,8.86,8.75,8.76
754,사랑하기 때문에,140010,8.15,4.0,8.3
755,눈의 여왕3: 눈과 불의 마법대결,156675,10.0,0.0,6.05
756,로그 원: 스타워즈 스토리,136868,9.14,6.0,9.02
757,아우토반,110379,6.74,2.5,5.83
758,더 리더: 책 읽어주는 남자,45298,8.13,4.88,7.15
759,재키,144990,7.29,5.67,7.1
760,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,8.77,6.5,8.15
761,잭 리처: 네버 고 백,119412,9.36,0.0,9.17
762,50가지 그림자: 심연,144081,7.75,8.5,8.9
763,스노든,134887,9.12,6.78,8.95
764,사일런스,90922,8.21,7.55,7.76
765,반지의 제왕: 왕의 귀환,31796,0.0,0.0,5.22
766,조작된 도시,127382,8.34,0.0,8.57
767,에곤 쉴레: 욕망이 그린 그림,154307,8.77,6.5,8.05
768,미공하행동,153656,7.71,6.0,7.47
769,재심,149512,10.0,4.0,6.46
770,7년-그들이 없는 언론,146526,9.6,7.67,9.31
771,"나, 다니엘 블레이크",150376,8.83,5.0,8.27
772,매기스 플랜,136859,0.0,0.0,0.0
773,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050,8.58,6.5,8.86
774,더 걸 온 더 트레인,142255,9.27,6.0,9.18
775,어쌔신 크리드,118307,8.53,6.72,8.37
776,컨택트,136869,8.03,5.5,7.95
777,라라랜드,134963,7.31,6.78,6.61
778,단지 세상의 끝,137958,8.73,6.38,8.8
779,로봇 오버로드,119448,8.74,0.0,8.75
780,패신저스,116233,7.53,4.0,4.31
781,다른 길이 있다,134976,8.69,7.08,8.18
782,여교사,139673,8.97,7.5,8.71
783,딥워터 호라이즌,137346,8.39,6.83,8.08
784,녹터널 애니멀스,143409,8.86,8.75,8.76
785,씽,144938,9.28,8.4,9.25
786,아우토반,110379,8.95,0.0,9.04
787,더 리더: 책 읽어주는 남자,45298,9.27,0.0,9.03
788,재키,144990,9.44,6.0,8.68
789,대역전,148961,8.13,4.88,7.15
790,로그 원: 스타워즈 스토리,136868,7.29,5.67,7.1
791,잭 리처: 네버 고 백,119412,8.77,6.5,8.15
792,"당신, 거기 있어줄래요",145292,8.93,7.0,7.47
793,반지의 제왕: 왕의 귀환,31796,7.75,8.5,8.9
794,데이라이트 엔드: 인류멸망의 날,149829,7.96,6.0,7.94
795,싱글라이더,146459,9.12,6.78,8.95
796,50가지 그림자: 심연,144081,8.21,7.55,7.76
797,사일런스,90922,0.0,0.0,5.22
798,문영,144578,8.34,0.0,8.57
799,조작된 도시,127382,7.71,6.0,7.47
800,에곤 쉴레: 욕망이 그린 그림,154307,10.0,4.0,6.46
801,파이널 크루: 칸우 탈출작전,158402,8.83,7.0,8.74
802,삼국지: 명장 관우,76794,8.83,5.0,8.27
803,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050,0.0,0.0,0.0
804,"내 어깨 위 고양이, 밥",154379,8.58,6.5,8.86
805,재심,149512,9.27,6.0,9.18
806,공조,142384,8.34,7.16,8.44
807,컨택트,136869,8.78,5.92,8.31
808,어쌔신 크리드,118307,7.31,6.78,6.61
809,딥워터 호라이즌,137346,8.39,6.0,8.03
810,다른 길이 있다,134976,7.53,4.0,4.31
811,여교사,139673,8.69,7.08,8.18
812,신비한 동물사전,115642,8.97,7.5,8.71
813,녹터널 애니멀스,143409,8.39,6.83,8.08
814,씽,144938,8.86,8.75,8.76
815,패신저스,116233,9.28,8.4,9.25
816,대역전,148961,8.15,4.0,8.3
817,재키,144990,10.0,0.0,6.05
818,데이라이트 엔드: 인류멸망의 날,149829,6.74,2.5,5.83
819,빌리 엘리어트,31013,9.44,6.0,8.68
820,언어의 정원,106335,0.0,0.0,6.9
821,반지의 제왕: 왕의 귀환,31796,7.29,5.67,7.1
822,사랑하기 때문에,140010,8.77,6.5,8.15
823,눈의 여왕3: 눈과 불의 마법대결,156675,8.93,7.0,7.47
824,파이널 크루: 칸우 탈출작전,158402,9.36,0.0,9.17
825,"당신, 거기 있어줄래요",145292,7.75,8.5,8.9
826,로그 원: 스타워즈 스토리,136868,7.96,6.0,7.94
827,매기스 플랜,136859,9.12,6.78,8.95
828,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,0.0,0.0,5.22
829,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050,8.34,0.0,8.57
830,유혹,158464,8.77,6.5,8.05
831,에곤 쉴레: 욕망이 그린 그림,154307,7.71,6.0,7.47
832,조작된 도시,127382,10.0,4.0,6.46
833,삼국지: 명장 관우,76794,8.83,7.0,8.74
834,스노든,134887,9.6,7.67,9.31
835,소시민,123678,8.83,5.0,8.27
836,싱글라이더,146459,0.0,0.0,0.0
837,사일런스,90922,8.58,6.5,8.86
838,문영,144578,9.27,6.0,9.18
839,컨택트,136869,8.99,6.71,8.96
840,모아나,130849,8.78,5.92,8.31
841,레지던트 이블: 파멸의 날,110333,7.31,6.78,6.61
842,판도라,132933,8.91,4.55,8.34
843,로봇 오버로드,119448,8.39,6.0,8.03
844,대역전,148961,8.69,7.08,8.18
845,재키,144990,8.86,8.75,8.76
846,씽,144938,8.15,4.0,8.3
847,데이라이트 엔드: 인류멸망의 날,149829,8.95,0.0,9.04
848,더 리더: 책 읽어주는 남자,45298,10.0,0.0,6.05
849,반지의 제왕: 왕의 귀환,31796,9.14,6.0,9.02
850,패신저스,116233,6.74,2.5,5.83
851,파이널 크루: 칸우 탈출작전,158402,9.44,6.0,8.68
852,빌리 엘리어트,31013,8.13,4.88,7.15
853,매기스 플랜,136859,7.29,5.67,7.1
854,유혹,158464,8.77,6.5,8.15
855,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050,8.93,7.0,7.47
856,언어의 정원,106335,9.36,0.0,9.17
857,50가지 그림자: 심연,144081,7.96,6.0,7.94
858,"당신, 거기 있어줄래요",145292,9.12,6.78,8.95
859,에곤 쉴레: 욕망이 그린 그림,154307,8.21,7.55,7.76
860,눈의 여왕3: 눈과 불의 마법대결,156675,0.0,0.0,5.22
861,오텁시 오브 제인 도,154461,8.34,0.0,8.57
862,몽키킹 히어로: 손오공과 요괴왕의 대결,158743,8.77,6.5,8.05
863,스노든,134887,7.71,6.0,7.47
864,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,10.0,4.0,6.46
865,"내 어깨 위 고양이, 밥",154379,8.83,7.0,8.74
866,삼국지: 명장 관우,76794,9.6,7.67,9.31
867,루시드 드림,130713,8.83,5.0,8.27
868,로그 원: 스타워즈 스토리,136868,8.58,6.5,8.86
869,드래곤: 용의 신부,154045,9.27,6.0,9.18
870,레지던트 이블: 파멸의 날,110333,9.02,7.55,8.75
871,마스터,145162,8.53,6.72,8.37
872,얼라이드,149777,8.03,5.5,7.95
873,대역전,148961,8.39,6.0,8.03
874,로봇 오버로드,119448,7.53,4.0,4.31
875,재키,144990,8.97,7.5,8.71
876,여교사,139673,8.39,6.83,8.08
877,데이라이트 엔드: 인류멸망의 날,149829,8.86,8.75,8.76
878,신비한 동물사전,115642,8.15,4.0,8.3
879,군함도,146506,8.95,0.0,9.04
880,씽,144938,10.0,0.0,6.05
881,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050,9.14,6.0,9.02
882,반지의 제왕: 왕의 귀환,31796,9.27,0.0,9.03
883,매기스 플랜,136859,6.74,2.5,5.83
884,유혹,158464,9.44,6.0,8.68
885,파이널 크루: 칸우 탈출작전,158402,0.0,0.0,6.9
886,초속5센티미터,66820,7.29,5.67,7.1
887,오텁시 오브 제인 도,154461,8.77,6.5,8.15
888,핵소 고지,142305,8.93,7.0,7.47
889,빌리 엘리어트,31013,9.36,0.0,9.17
890,잭 리처: 네버 고 백,119412,7.75,8.5,8.9
891,언어의 정원,106335,7.96,6.0,7.94
892,패신저스,116233,9.12,6.78,8.95
893,루시드 드림,130713,8.21,7.55,7.76
894,삼국지: 명장 관우,76794,0.0,0.0,5.22
895,소시민,123678,8.34,0.0,8.57
896,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,8.77,6.5,8.05
897,재심,149512,7.71,6.0,7.47
898,드래곤: 용의 신부,154045,10.0,4.0,6.46
899,사랑하기 때문에,140010,8.83,5.0,8.27
900,50가지 그림자: 심연,144081,0.0,0.0,0.0
901,몽키킹 히어로: 손오공과 요괴왕의 대결,158743,8.58,6.5,8.86
902,"당신, 거기 있어줄래요",145292,9.27,6.0,9.18
903,레지던트 이블: 파멸의 날,110333,8.78,5.92,8.31
904,딥워터 호라이즌,137346,7.31,6.78,6.61
905,대역전,148961,8.74,0.0,8.75
906,단지 세상의 끝,137958,8.39,6.0,8.03
907,군함도,146506,7.53,4.0,4.31
908,로봇 오버로드,119448,8.97,7.5,8.71
909,재키,144990,8.39,6.83,8.08
910,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050,9.28,8.4,9.25
911,매기스 플랜,136859,8.95,0.0,9.04
912,파이널 크루: 칸우 탈출작전,158402,9.14,6.0,9.02
913,핵소 고지,142305,6.74,2.5,5.83
914,사랑하기 때문에,140010,9.44,6.0,8.68
915,씽,144938,0.0,0.0,6.9
916,오텁시 오브 제인 도,154461,8.13,4.88,7.15
917,초속5센티미터,66820,8.93,7.0,7.47
918,드래곤: 용의 신부,154045,9.36,0.0,9.17
919,루시드 드림,130713,7.75,8.5,8.9
920,은하,138209,7.96,6.0,7.94
921,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,9.12,6.78,8.95
922,닥터 스트레인지,125459,8.21,7.55,7.76
923,빌리 엘리어트,31013,0.0,0.0,5.22
924,해빙,137875,8.34,0.0,8.57
925,트리플 엑스 리턴즈,102278,8.77,6.5,8.05
926,잭 리처: 네버 고 백,119412,7.71,6.0,7.47
927,언어의 정원,106335,10.0,4.0,6.46
928,50가지 그림자: 심연,144081,8.83,7.0,8.74
929,유혹,158464,0.0,0.0,0.0
930,23 아이덴티티,144927,8.58,6.5,8.86
931,패신저스,116233,9.27,6.0,9.18
932,레지던트 이블: 파멸의 날,110333,8.99,6.71,8.96
933,컨택트,136869,8.8,5.44,8.68
934,딥워터 호라이즌,137346,8.53,6.72,8.37
935,마스터,145162,8.03,5.5,7.95
936,얼라이드,149777,7.31,6.78,6.61
937,대역전,148961,8.73,6.38,8.8
938,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050,8.39,6.83,8.08
939,사랑하기 때문에,140010,9.28,8.4,9.25
940,핵소 고지,142305,8.15,4.0,8.3
941,데이라이트 엔드: 인류멸망의 날,149829,10.0,0.0,6.05
942,닥터 스트레인지,125459,9.27,0.0,9.03
943,드래곤: 용의 신부,154045,6.74,2.5,5.83
944,오텁시 오브 제인 도,154461,9.44,6.0,8.68
945,신비한 동물사전,115642,0.0,0.0,6.9
946,해빙,137875,8.13,4.88,7.15
947,녹터널 애니멀스,143409,7.29,5.67,7.1
948,다른 길이 있다,134976,8.77,6.5,8.15
949,은하,138209,8.93,7.0,7.47
950,초속5센티미터,66820,9.36,0.0,9.17
951,23 아이덴티티,144927,7.75,8.5,8.9
952,트리플 엑스 리턴즈,102278,7.96,6.0,7.94
953,몬스터콜,125401,9.12,6.78,8.95
954,씽,144938,8.21,7.55,7.76
955,루시드 드림,130713,0.0,0.0,5.22
956,돈키호테 맨 오브 라만차,130931,8.77,6.5,8.05
957,50가지 그림자: 심연,144081,7.71,6.0,7.47
958,더 리더: 책 읽어주는 남자,45298,10.0,4.0,6.46
959,반지의 제왕: 왕의 귀환,31796,8.83,7.0,8.74
960,스노든,134887,0.0,0.0,0.0
961,잭 리처: 네버 고 백,119412,8.83,5.0,8.27
962,그레이트 월,126034,0.0,0.0,0.0
963,빌리 엘리어트,31013,8.58,6.5,8.86
964,로건,117787,9.27,6.0,9.18
965,군함도,146506,8.05,6.25,7.93
966,터닝메카드W: 블랙미러의 부활,155484,8.74,0.0,8.75
967,재키,144990,7.53,4.0,4.31
968,어쌔신 크리드,118307,8.69,7.08,8.18
969,단지 세상의 끝,137958,8.97,7.5,8.71
970,사랑하기 때문에,140010,8.39,6.83,8.08
971,핵소 고지,142305,8.86,8.75,8.76
972,닥터 스트레인지,125459,8.15,4.0,8.3
973,몬스터콜,125401,10.0,0.0,6.05
974,로봇 오버로드,119448,9.14,6.0,9.02
975,파이널 크루: 칸우 탈출작전,158402,9.27,0.0,9.03
976,해빙,137875,6.74,2.5,5.83
977,돈키호테 맨 오브 라만차,130931,9.44,6.0,8.68
978,은하,138209,0.0,0.0,6.9
979,트리플 엑스 리턴즈,102278,8.13,4.88,7.15
980,23 아이덴티티,144927,7.29,5.67,7.1
981,신비한 동물사전,115642,8.77,6.5,8.15
982,드래곤: 용의 신부,154045,8.93,7.0,7.47
983,오텁시 오브 제인 도,154461,9.36,0.0,9.17
984,데이라이트 엔드: 인류멸망의 날,149829,7.75,8.5,8.9
985,녹터널 애니멀스,143409,7.96,6.0,7.94
986,초속5센티미터,66820,0.0,0.0,5.22
987,루시드 드림,130713,8.34,0.0,8.57
988,다른 길이 있다,134976,8.77,6.5,8.05
989,라이언,134841,7.71,6.0,7.47
990,그레이트 월,126034,8.83,7.0,8.74
991,언어의 정원,106335,0.0,0.0,0.0
992,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,158266,8.83,5.0,8.27
993,400 데이즈,144433,8.58,6.5,8.86
994,씽,144938,9.27,6.0,9.18
995,레지던트 이블: 파멸의 날,110333,8.9,8.34,8.59
996,너의 이름은.,150198,8.99,6.71,8.96
997,컨택트,136869,9.02,7.55,8.75
998,얼라이드,149777,8.91,4.55,8.34
999,닥터 스트레인지,125459,8.69,7.08,8.18
1000,몬스터콜,125401,8.97,7.5,8.71
1001,핵소 고지,142305,8.39,6.83,8.08
1002,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050,8.86,8.75,8.76
1003,대역전,148961,9.28,8.4,9.25
1004,매기스 플랜,136859,8.15,4.0,8.3
1005,단지 세상의 끝,137958,8.95,0.0,9.04
1006,어쌔신 크리드,118307,10.0,0.0,6.05
1007,돈키호테 맨 오브 라만차,130931,9.14,6.0,9.02
1008,은하,138209,9.27,0.0,9.03
1009,파이널 크루: 칸우 탈출작전,158402,6.74,2.5,5.83
1010,23 아이덴티티,144927,9.44,6.0,8.68
1011,해빙,137875,0.0,0.0,6.9
1012,로봇 오버로드,119448,7.29,5.67,7.1
1013,스플릿,146512,8.77,6.5,8.15
1014,용의자,93028,9.36,0.0,9.17
1015,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,7.75,8.5,8.9
1016,루시드 드림,130713,7.96,6.0,7.94
1017,신비한 동물사전,115642,9.12,6.78,8.95
1018,라이언,134841,8.21,7.55,7.76
1019,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,158266,0.0,0.0,5.22
1020,초속5센티미터,66820,8.34,0.0,8.57
1021,그레이트 월,126034,8.77,6.5,8.05
1022,드래곤: 용의 신부,154045,8.83,7.0,8.74
1023,키코리키: 황금모자의 비밀,148946,9.6,7.67,9.31
1024,맛있는 워킹걸,158764,0.0,0.0,0.0
1025,녹터널 애니멀스,143409,8.83,5.0,8.27
1026,사운드 오브 뮤직,10102,0.0,0.0,0.0
1027,검사외전,130903,8.58,6.5,8.86
1028,더 리더: 책 읽어주는 남자,45298,9.27,6.0,9.18
1029,딥워터 호라이즌,137346,8.8,5.44,8.68
1030,컨택트,136869,8.53,6.72,8.37
1031,마스터,145162,7.31,6.78,6.61
1032,몬스터콜,125401,8.74,0.0,8.75
1033,닥터 스트레인지,125459,8.39,6.0,8.03
1034,핵소 고지,142305,8.69,7.08,8.18
1035,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050,8.97,7.5,8.71
1036,돈키호테 맨 오브 라만차,130931,9.28,8.4,9.25
1037,은하,138209,8.95,0.0,9.04
1038,대역전,148961,10.0,0.0,6.05
1039,23 아이덴티티,144927,9.14,6.0,9.02
1040,트리플 엑스 리턴즈,102278,9.27,0.0,9.03
1041,단지 세상의 끝,137958,6.74,2.5,5.83
1042,스플릿,146512,9.44,6.0,8.68
1043,50가지 그림자: 심연,144081,8.13,4.88,7.15
1044,맛있는 워킹걸,158764,7.29,5.67,7.1
1045,파이널 크루: 칸우 탈출작전,158402,8.77,6.5,8.15
1046,용의자,93028,8.93,7.0,7.47
1047,어쌔신 크리드,118307,9.36,0.0,9.17
1048,로봇 오버로드,119448,7.96,6.0,7.94
1049,라이언,134841,9.12,6.78,8.95
1050,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,158266,8.21,7.55,7.76
1051,신비한 동물사전,115642,8.34,0.0,8.57
1052,미션 임파서블: 로그네이션,95541,8.77,6.5,8.05
1053,초속5센티미터,66820,7.71,6.0,7.47
1054,사운드 오브 뮤직,10102,10.0,4.0,6.46
1055,검사외전,130903,8.83,5.0,8.27
1056,키코리키: 황금모자의 비밀,148946,0.0,0.0,0.0
1057,블랙,68567,9.27,6.0,9.18
1058,공조,142384,8.65,5.77,8.1
1059,닥터 스트레인지,125459,8.74,0.0,8.75
1060,몬스터콜,125401,8.39,6.0,8.03
1061,핵소 고지,142305,7.53,4.0,4.31
1062,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050,8.69,7.08,8.18
1063,돈키호테 맨 오브 라만차,130931,8.86,8.75,8.76
1064,터닝메카드W: 블랙미러의 부활,155484,9.28,8.4,9.25
1065,트리플 엑스 리턴즈,102278,10.0,0.0,6.05
1066,맛있는 워킹걸,158764,9.14,6.0,9.02
1067,해빙,137875,9.27,0.0,9.03
1068,50가지 그림자: 심연,144081,6.74,2.5,5.83
1069,대역전,148961,0.0,0.0,6.9
1070,라이언,134841,8.13,4.88,7.15
1071,동창회의 목적: 더 비기닝,153423,7.29,5.67,7.1
1072,23 아이덴티티,144927,8.77,6.5,8.15
1073,미션 임파서블: 로그네이션,95541,7.75,8.5,8.9
1074,단지 세상의 끝,137958,7.96,6.0,7.94
1075,블랙,68567,9.12,6.78,8.95
1076,그레이트 월,126034,0.0,0.0,5.22
1077,파이널 크루: 칸우 탈출작전,158402,8.77,6.5,8.05
1078,사운드 오브 뮤직,10102,7.71,6.0,7.47
1079,뚜르: 내 생애 최고의 49일,142304,10.0,4.0,6.46
1080,초속5센티미터,66820,8.83,7.0,8.74
1081,검사외전,130903,9.6,7.67,9.31
1082,신비한 동물사전,115642,0.0,0.0,0.0
1083,로봇 오버로드,119448,8.83,5.0,8.27
1084,키코리키: 황금모자의 비밀,148946,8.58,6.5,8.86
1085,서유기3: 월광보합 리턴즈,142323,9.27,6.0,9.18
