movieCd,movieNm,director,Rate
20165748,꾼,,0
20173581,기억의 밤,,0
20178581,오리엔트 특급 살인,,0
20161762,반드시 잡는다,,0
20040695,이프 온리,,0
20168221,저스티스 리그,,0
20179942,러빙 빈센트,,0
20175121,토르: 라그나로크,,0
20174622,해피 데스데이,,0
20080349,버킷 리스트:죽기전에 꼭 하고싶은것들,,0
20175223,래빗 스쿨,,0
20174073,빅 배드 폭스,,0
20170272,산상수훈,,0
20175441,채비,,0
20175903,은혼,,0
20174585,메리와 마녀의 꽃,,0
20173693,어쌔신: 더 비기닝,,0
20174846,뽀로로 극장판 공룡섬 대모험,,0
20167904,라라랜드,,0
20170402,강철비,,0
20170443,스타워즈: 라스트 제다이,,0
20150976,신과함께-죄와 벌,,0
20175481,튤립 피버,,0
20176367,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,,0
20000067,러브레터,,0
20170590,1987,,0
20179462,위대한 쇼맨,,0
20030404,러브 액츄얼리,,0
20174965,극장판 포켓몬스터 너로 정했다!,,0
20176082,몬스터 패밀리,,0
20176022,더 크리스마스,,0
20176049,패터슨,,0
20176947,원더,,0
20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,,0
