movieCd,movieNm,director,Rate
20168261,원더 우먼,,0
20169348,대립군,,0
20170982,캐리비안의 해적: 죽은 자는 말이 없다,,0
20174602,노무현입니다,,0
20175262,겟 아웃,,0
20174803,7번째 내가 죽던 날,,0
20164844,불한당: 나쁜 놈들의 세상,,0
20162629,하이큐!! 끝과 시작,,0
20173642,너와 100번째 사랑,,0
20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,,0
20174061,보스 베이비,,0
20174821,바다 탐험대 옥토넛 시즌4: 더 파이널,,0
20166488,미이라,,0
20175581,파워배틀 와치카: 와치가면의 역습,,0
20166384,하루,,0
20160483,꿈의 제인,,0
20162343,악녀,,0
20173833,심야식당 2,,0
20175142,극장판 쿠로코의 농구 라스트 게임,,0
20168041,용순,,0
20158485,옥자,,0
20176983,킹 오브 프리즘 - 프라이드 더 히어로,,0
20175423,나의 붉은고래,,0
20175662,엘르,,0
20176741,꼬마참새 리차드: 아프리카 원정대,,0
20172241,꼬마돼지 베이브의 대모험,,0
20178982,박열,,0
20166967,트랜스포머: 최후의 기사,,0
20176201,더 서클,,0
20175982,다크 하우스,,0
20040526,첫키스만 50번째,,0
20175821,언더더씨,,0
20159647,리얼,,0
20176961,지랄발광 17세,,0
20020186,헤드윅,,0
