movieCd,movieNm,director,naver_movieCd,ntz_see_score,spc_score,ntz_score
20165748,꾼,장창원,,,,
20173581,기억의 밤,장항준,,,,
20178581,오리엔트 특급 살인,케네스 브래너,,,,
20161762,반드시 잡는다,김홍선,,,,
20040695,이프 온리,길 정거,,,,
20168221,저스티스 리그,잭 스나이더,,,,
20179942,러빙 빈센트,도로타 코비엘라,,,,
20175121,토르: 라그나로크,타이카 와이티티,,,,
20174622,해피 데스데이,크리스토퍼 랜던,,,,
20080349,버킷 리스트:죽기전에 꼭 하고싶은것들,롭 라이너,,,,
20175223,래빗 스쿨,우테 폰 뮌쇼폴,,,,
20174073,빅 배드 폭스,벤자민 레너,,,,
20170272,산상수훈,유영의,,,,
20175441,채비,조영준,,,,
20175903,은혼,후쿠다 유이치,,,,
20174585,메리와 마녀의 꽃,요네바야시 히로마사,,,,
20173693,어쌔신: 더 비기닝,마이클 쿠에스타,,,,
20174846,뽀로로 극장판 공룡섬 대모험,김현호,,,,
20167904,라라랜드,데이미언 셔젤,134963.0,8.9,8.34,8.59
20167904,라라랜드,데이미언 셔젤,134963.0,8.99,6.71,8.96
20167904,라라랜드,데이미언 셔젤,134963.0,8.78,5.92,8.31
20167904,라라랜드,데이미언 셔젤,134963.0,8.8,5.44,8.68
20167904,라라랜드,데이미언 셔젤,134963.0,9.02,7.55,8.75
20167904,라라랜드,데이미언 셔젤,134963.0,8.53,6.72,8.37
20167904,라라랜드,데이미언 셔젤,134963.0,8.03,5.5,7.95
20167904,라라랜드,데이미언 셔젤,134963.0,7.31,6.78,6.61
20170402,강철비,양우석,,,,
20170443,스타워즈: 라스트 제다이,라이언 존슨,,,,
20150976,신과함께-죄와 벌,김용화,,,,
20175481,튤립 피버,저스틴 채드윅,,,,
20176367,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,고로 사쿠라,,,,
20000067,러브레터,이와이 슌지,,,,
20170590,1987,장준환,,,,
20179462,위대한 쇼맨,마이클 그레이시,,,,
20030404,러브 액츄얼리,리차드 커티스,,,,
20174965,극장판 포켓몬스터 너로 정했다!,유야마 쿠니히코,,,,
20176082,몬스터 패밀리,호거 태프,,,,
20176022,더 크리스마스,티모시 렉카트,,,,
20176049,패터슨,짐 자무쉬,,,,
20176947,원더,스티븐 크보스키,,,,
20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,모리와키 마코토,,,,
20172742,범죄도시,강윤성,,,,
20171024,너의 췌장을 먹고 싶어,츠키카와 쇼,,,,
20173694,지오스톰,딘 데블린,,,,
20164424,대장 김창수,이원태,,,,
20070454,원스,존 카니,,,,
20165450,남한산성,황동혁,,,,
20176767,"나는 내일, 어제의 너와 만난다",미키 타카히로,,,,
20174142,아이 캔 스피크,김현석,,,,
20175208,뷰티풀 투모로우,장재혁,,,,
20172603,부라더,장유정,,,,
20169643,침묵,정지우,,,,
20173724,직쏘,피터 스피어이그,,,,
20173806,노 게임 노 라이프 -제로-,이시즈카 아츠코,,,,
20173612,메소드,방은진,,,,
20177342,내게 남은 사랑을,진광교,,,,
20174902,신서유기 : 몽키킹의 부활,텐 샤오펑,,,,
20171817,넛잡 2,캘런 브런커,,,,
20161681,미옥,이안규,,,,
20173804,배드 지니어스,나타우트 푼프리야,,,,
20173931,리빙보이 인 뉴욕,마크 웹,,,,
20175244,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 ,타케모토 노보루,,,,
20168754,7호실,이용승,,,,
20175611,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,스도 토모노리,,,,
20174222,키드냅,루이스 프리에토,,,,
20173903,역모-반란의 시대,김홍선,,,,
20174778,하이큐!! 재능과 센스,미츠나카 스스무,,,,
20175288,피터와 모글리의 크리스마스 어드벤처,타파스 차크라바르티,,,,
20175222,킹스맨: 골든 서클,매튜 본,,,,
20172142,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,우시로 신지,,,,
20170364,레고 닌자고 무비,찰리 빈,,,,
20154909,살인자의 기억법,원신연,,,,
20171962,킬러의 보디가드,패트릭 휴즈,,,,
20171090,베이비 드라이버,에드가 라이트,,,,
20172627,리틀 프린세스 소피아 : 신비한 섬,제이미 미첼,,,,
20173945,인비저블 게스트,오리올 파울로,,,,
20166132,김광석,이상호,,,,
20170964,딥,줄리오 소토 거피드,,,,
20171369,매직울프,안드레이 갈랏,,,,
20168282,블레이드 러너 2049,드니 빌뇌브,,,,
20154907,희생부활자,곽경택,,,,
20171312,우리의 20세기,마이크 밀스,,,,
20173092,어메이징 메리,마크 웹,,,,
20169463,다시 태어나도 우리,전진,,,,
20172942,나의 엔젤,해리 클레븐,,,,
20175943,주키퍼스 와이프,니키 카로,,,,
