movieCd,movieNm,director,Rate
20175222,킹스맨: 골든 서클,,0
20174142,아이 캔 스피크,,0
20172142,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,,0
20170364,레고 닌자고 무비,,0
20154909,살인자의 기억법,,0
20171962,킬러의 보디가드,,0
20171090,베이비 드라이버,,0
20172627,리틀 프린세스 소피아 : 신비한 섬,,0
20173945,인비저블 게스트,,0
20166132,김광석,,0
20165450,남한산성,,0
20172742,범죄도시,,0
20171817,넛잡 2,,0
20170964,딥,,0
20171369,매직울프,,0
20168282,블레이드 러너 2049,,0
20154907,희생부활자,,0
20171312,우리의 20세기,,0
20173092,어메이징 메리,,0
20169463,다시 태어나도 우리,,0
20176767,"나는 내일, 어제의 너와 만난다",,0
20172603,부라더,,0
20172942,나의 엔젤,,0
20164424,대장 김창수,,0
20175943,주키퍼스 와이프,,0
20158047,발레리안: 천 개 행성의 도시,,0
20172064,마더!,,0
20173694,지오스톰,,0
20173806,노 게임 노 라이프 -제로-,,0
20176761,잠깐만 회사 좀 관두고 올게,,0
20175121,토르: 라그나로크,,0
20171024,너의 췌장을 먹고 싶어,,0
20164481,유리정원,,0
20175208,뷰티풀 투모로우,,0
20174103,배저로와 친구들: 신비한 모험,,0
20177342,내게 남은 사랑을,,0
