date,rnum,rank,rankInten,rankOldAndNew,movieCd,rnum,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
20170601,1,1,0,OLD,20168261,1,원더 우먼,2017-05-31,918976500,33.5,-395234700,-30.1,2265289700,116912,-90032,-43.5,327172,913,4164
20170601,2,2,0,OLD,20169348,2,대립군,2017-05-31,532286700,19.4,-268622700,-33.5,1427630700,73171,-63069,-46.3,220155,776,3447
20170601,3,3,0,OLD,20170982,3,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,507501000,18.5,-245711300,-32.6,15827160120,67078,-55331,-45.2,1932196,710,3040
20170601,4,4,0,OLD,20174602,4,노무현입니다,2017-05-25,365275400,13.3,-99702200,-21.4,6817519112,50155,-28425,-36.2,873954,593,2205
20170601,5,5,0,OLD,20175262,5,겟 아웃,2017-05-17,201343500,7.4,-30562800,-13.2,15195584675,26331,-12771,-32.7,1864924,434,1290
20170601,6,6,1,OLD,20174803,6,7번째 내가 죽던 날,2017-05-31,30172500,1.1,114500,0.4,69033500,4125,-687,-14.3,10076,230,421
20170601,7,7,-1,OLD,20164844,7,불한당: 나쁜 놈들의 세상,2017-05-17,27554800,1.0,-8653000,-23.9,7220328125,3779,-2120,-35.9,894556,179,268
20170601,8,8,0,NEW,20162629,8,하이큐!! 끝과 시작,2016-11-16,22345000,0.8,22345000,100,567191000,3091,3091,100,78795,73,134
20170601,9,9,-1,OLD,20173642,9,너와 100번째 사랑,2017-05-25,21572500,0.8,2222500,11.5,337172300,2879,-459,-13.8,43239,108,181
20170601,10,10,0,NEW,20176141,10,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,16030100,0.6,16030100,100,20188100,2314,2314,100,2776,107,143
20170602,1,1,0,OLD,20168261,1,원더 우먼,2017-05-31,1338334495,35.6,419357995,45.6,3603624195,154172,37260,31.9,481344,958,4352
20170602,2,2,1,OLD,20170982,2,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,753973405,20.1,246472405,48.6,16581133525,89719,22641,33.8,2021915,722,3106
20170602,3,3,-1,OLD,20169348,3,대립군,2017-05-31,693724105,18.5,161437405,30.3,2121354805,85851,12680,17.3,306006,786,3419
20170602,4,4,0,OLD,20174602,4,노무현입니다,2017-05-25,486686800,13.0,121411400,33.2,7304205912,59584,9429,18.8,933538,598,2293
20170602,5,5,0,OLD,20175262,5,겟 아웃,2017-05-17,269545800,7.2,68202300,33.9,15465130475,31940,5609,21.3,1896864,457,1291
20170602,6,6,0,OLD,20174803,6,7번째 내가 죽던 날,2017-05-31,38301900,1.0,8129400,26.9,107335400,4721,596,14.4,14797,226,418
20170602,7,7,0,OLD,20164844,7,불한당: 나쁜 놈들의 세상,2017-05-17,32924600,0.9,5369800,19.5,7253252725,3923,144,3.8,898479,168,264
20170602,8,8,1,OLD,20173642,8,너와 100번째 사랑,2017-05-25,24753500,0.7,3181000,14.7,361925800,2957,78,2.7,46196,114,189
20170602,9,9,1,OLD,20176141,9,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,12717900,0.3,-3312200,-20.7,32906000,1600,-714,-30.9,4376,104,132
20170602,10,10,1,OLD,20174061,10,보스 베이비,2017-05-03,10251000,0.3,1122000,12.3,18210589004,1493,74,5.2,2353948,81,99
20170603,1,1,0,OLD,20168261,1,원더 우먼,2017-05-31,3095098603,37.0,1756764108,131.3,6698722798,356552,202380,131.3,837896,1030,4723
20170603,2,2,0,OLD,20170982,2,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,1819417797,21.7,1065444392,141.3,18400551322,215180,125461,139.8,2237095,756,3220
20170603,3,3,0,OLD,20169348,3,대립군,2017-05-31,1274123297,15.2,580399192,83.7,3395478102,153756,67905,79.1,459762,725,3194
20170603,4,4,0,OLD,20174602,4,노무현입니다,2017-05-25,992209200,11.8,505522400,103.9,8296415112,119639,60055,100.8,1053177,627,2439
20170603,5,5,0,OLD,20175262,5,겟 아웃,2017-05-17,513223500,6.1,243677700,90.4,15978353975,61165,29225,91.5,1958029,475,1273
20170603,6,6,3,OLD,20176141,6,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,176507800,2.1,163789900,1287.9,209413800,23444,21844,1365.3,27820,188,379
20170603,7,7,3,OLD,20174061,7,보스 베이비,2017-05-03,121074600,1.4,110823600,1081.1,18331663604,15992,14499,971.1,2369940,253,346
20170603,8,8,5,OLD,20174821,8,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,69214500,0.8,62238500,892.2,88191000,10637,9586,912.1,13479,162,280
20170603,9,9,-1,OLD,20173642,9,너와 100번째 사랑,2017-05-25,50424000,0.6,25670500,103.7,412349800,6191,3234,109.4,52387,114,199
20170603,10,10,-4,OLD,20174803,10,7번째 내가 죽던 날,2017-05-31,48567800,0.6,10265900,26.8,155903200,5901,1180,25,20698,214,331
20170604,1,1,0,OLD,20168261,1,원더 우먼,2017-05-31,2760802900,36.4,-334295703,-10.8,9459525698,320498,-36054,-10.1,1158394,1034,4649
20170604,2,2,0,OLD,20170982,2,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,1626367900,21.4,-193049897,-10.6,20026919222,193400,-21780,-10.1,2430495,776,3184
20170604,3,3,0,OLD,20169348,3,대립군,2017-05-31,1115793400,14.7,-158329897,-12.4,4511271502,134745,-19011,-12.4,594507,714,3047
20170604,4,4,0,OLD,20174602,4,노무현입니다,2017-05-25,1020713800,13.5,28504600,2.9,9317128912,123572,3933,3.3,1176749,614,2372
20170604,5,5,0,OLD,20175262,5,겟 아웃,2017-05-17,429273100,5.7,-83950400,-16.4,16407627075,50722,-10443,-17.1,2008751,474,1260
20170604,6,6,0,OLD,20176141,6,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,165509100,2.2,-10998700,-6.2,374922900,21628,-1816,-7.7,49448,198,414
20170604,7,7,0,OLD,20174061,7,보스 베이비,2017-05-03,122790800,1.6,1716200,1.4,18454454404,16036,44,0.3,2385976,245,333
20170604,8,8,0,OLD,20174821,8,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,69156000,0.9,-58500,-0.1,157347000,10578,-59,-0.6,24057,167,299
20170604,9,9,0,OLD,20173642,9,너와 100번째 사랑,2017-05-25,55404500,0.7,4980500,9.9,467754300,6759,568,9.2,59146,114,199
20170604,10,10,0,OLD,20174803,10,7번째 내가 죽던 날,2017-05-31,42636300,0.6,-5931500,-12.2,198539500,5249,-652,-11,25947,207,319
20170605,1,1,0,OLD,20168261,1,원더 우먼,2017-05-31,1408071500,35.9,-1352731400,-49,10867597198,182781,-137717,-43,1341175,996,4623
20170605,2,2,0,OLD,20170982,2,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,859232700,21.9,-767135200,-47.2,20886151922,115760,-77640,-40.1,2546255,732,3209
20170605,3,3,1,OLD,20174602,3,노무현입니다,2017-05-25,571865100,14.6,-448848700,-44,9888994012,78344,-45228,-36.6,1255093,593,2385
20170605,4,4,-1,OLD,20169348,4,대립군,2017-05-31,534008000,13.6,-581785400,-52.1,5045279502,73276,-61469,-45.6,667783,687,3058
20170605,5,5,0,OLD,20175262,5,겟 아웃,2017-05-17,253153000,6.5,-176120100,-41,16660780075,33622,-17100,-33.7,2042373,469,1332
20170605,6,6,1,OLD,20174061,6,보스 베이비,2017-05-03,38956300,1.0,-83834500,-68.3,18493410704,5674,-10362,-64.6,2391650,114,149
