movieCd,movieNm,director,Rate
20161481,군함도,,0
20173403,슈퍼배드 3,,0
20164621,덩케르크,,0
20167303,스파이더맨: 홈 커밍,,0
20178321,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,,0
20174801,내 사랑,,0
20177181,47 미터,,0
20177501,플립,,0
20175522,카3: 새로운 도전,,0
20162442,청년경찰,,0
20162869,택시운전사,,0
20170124,명탐정 코난:진홍의 연가,,0
20179186,이모티: 더 무비,,0
20161081,애나벨 : 인형의 주인,,0
20178762,파리로 가는 길,,0
20178641,빅풋 주니어,,0
20179085,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,,0
20151003,장산범,,0
20179901,혹성탈출: 종의 전쟁,,0
20179226,드래곤 스펠: 마법 꽃의 비밀,,0
20179187,공범자들,,0
20164174,브이아이피,,0
20170022,다크타워: 희망의 탑,,0
20165001,더 테이블,,0
20170389,극장판 위 베어 베어스: 곰 브라더스,,0
20179407,로마의 휴일,,0
20171962,킬러의 보디가드,,0
20158047,발레리안: 천 개 행성의 도시,,0
20179491,아토믹 블론드,,0
