rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
6,6,-2,OLD,20151181,여교사,2017-01-04,10047500,0.9,-8050500,-44.5,911851760,1177,-926,-44,110995,55,83,2017-01-15,_K
7,7,0,OLD,20160881,문영,2017-01-12,4247000,0.4,-1419000,-25,27089399,516,-217,-29.6,3592,21,35,2017-01-15,_K
8,8,0,NEW,20149384,청일전쟁과 여걸 민비, ,523000,0.0,523000,100,3571000,254,254,100,1778,1,3,2017-01-15,_K
9,9,7,OLD,20161701,위켄즈,2016-12-22,1086000,0.1,974000,869.6,26776200,140,124,775,3487,4,4,2017-01-15,_K
10,10,2,OLD,20165144,걱정말아요,2017-01-05,238200,0.0,-85800,-26.5,5045900,32,-9,-22,670,8,8,2017-01-15,_K
1,1,0,OLD,20161872,너의 이름은.,2017-01-04,2472059900,35.4,9520299,0.4,20230833450,298280,6033,2.1,2489374,842,3983,2017-01-15,_F
2,2,0,OLD,20165443,모아나,2017-01-12,2089628500,29.9,95317801,4.8,5411585692,255212,11474,4.7,673220,953,3569,2017-01-15,_F
3,3,0,OLD,20168381,얼라이드,2017-01-11,810222400,11.6,-68725630,-7.8,2822164379,93567,-8074,-7.9,337889,546,1898,2017-01-15,_F
4,4,0,OLD,20164421,어쌔신 크리드,2017-01-11,611068500,8.7,-128458670,-17.4,2510923921,72083,-14693,-16.9,305310,551,1945,2017-01-15,_F
5,5,0,OLD,20167904,라라랜드,2016-12-07,355169700,5.1,-43424201,-10.9,24523201122,40288,-5015,-11.1,2924104,358,733,2017-01-15,_F
6,6,1,OLD,20162025,씽,2016-12-21,146446500,2.1,-6953500,-4.5,13122174189,18093,-1148,-6,1710057,280,456,2017-01-15,_F
7,7,-1,OLD,20161084,패신저스,2017-01-04,146595900,2.1,-37682300,-20.4,5368943318,17377,-4331,-20,654883,355,673,2017-01-15,_F
8,8,0,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,123683000,1.8,-5343400,-4.1,2567049200,15766,-913,-5.5,346092,307,470,2017-01-15,_F
9,9,0,OLD,20168324,반지의 제왕 : 반지원정대 (확장판),2017-01-11,80450800,1.2,-13867600,-14.7,356876700,6010,-1004,-14.3,26957,71,136,2017-01-15,_F
10,10,0,OLD,20167127,너브,2017-01-11,40617700,0.6,-2169500,-5.1,180645700,4674,-257,-5.2,21853,141,270,2017-01-15,_F
1,1,0,OLD,20161872,너의 이름은.,2017-01-04,740590900,31.1,-1731469000,-70,20971424350,97566,-200714,-67.3,2586940,759,3685,2017-01-16,
2,2,0,OLD,20165443,모아나,2017-01-12,471774900,19.8,-1617853600,-77.4,5883360592,64650,-190562,-74.7,737870,780,3071,2017-01-16,
3,3,0,OLD,20161725,마스터,2016-12-21,282543100,11.9,-675091200,-70.5,57434232365,37009,-73994,-66.7,7068231,565,1832,2017-01-16,
4,4,0,OLD,20168381,얼라이드,2017-01-11,280917000,11.8,-529305400,-65.3,3103081379,36848,-56719,-60.6,374737,521,1971,2017-01-16,
5,5,0,OLD,20164421,어쌔신 크리드,2017-01-11,154133400,6.5,-456935100,-74.8,2665057321,20210,-51873,-72,325520,546,1886,2017-01-16,
6,6,0,OLD,20167904,라라랜드,2016-12-07,134242400,5.6,-220927300,-62.2,24657443522,17258,-23030,-57.2,2941362,347,740,2017-01-16,
7,7,1,OLD,20161084,패신저스,2017-01-04,43373100,1.8,-103222800,-70.4,5412316418,5778,-11599,-66.7,660661,345,668,2017-01-16,
8,8,2,OLD,20150966,사랑하기 때문에,2017-01-04,31321600,1.3,-46166900,-59.6,2628111340,4433,-5250,-54.2,333981,235,424,2017-01-16,
9,9,-2,OLD,20162025,씽,2016-12-21,31280800,1.3,-115165700,-78.6,13153454989,4431,-13662,-75.5,1714488,254,382,2017-01-16,
10,10,-1,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,19781500,0.8,-103901500,-84,2586830700,2962,-12804,-81.2,349054,256,345,2017-01-16,
1,1,0,OLD,20161725,마스터,2016-12-21,282543100,75.5,-675091200,-70.5,57434232365,37009,-73994,-66.7,7068231,565,1832,2017-01-16,_K
2,2,0,OLD,20150966,사랑하기 때문에,2017-01-04,31321600,8.4,-46166900,-59.6,2628111340,4433,-5250,-54.2,333981,235,424,2017-01-16,_K
3,3,0,NEW,20151229,더 킹,2017-01-18,24284000,6.5,24284000,100,91769000,2885,2885,100,10118,13,14,2017-01-16,_K
4,4,-1,OLD,20144641,판도라,2016-12-07,9108200,2.4,-20295900,-69,36017563264,1382,-2606,-65.3,4575574,59,100,2017-01-16,_K
5,5,0,OLD,20163014,7년-그들이 없는 언론,2017-01-12,8199200,2.2,-7832400,-48.9,84409300,1147,-789,-40.8,10586,101,150,2017-01-16,_K
6,6,0,NEW,20163845,터닝메카드W: 블랙미러의 부활,2017-01-18,7848000,2.1,7848000,100,11816000,981,981,100,1524,2,2,2017-01-16,_K
7,7,-1,OLD,20151181,여교사,2017-01-04,5517900,1.5,-4529600,-45.1,917369660,736,-441,-37.5,111731,52,83,2017-01-16,_K
8,8,-1,OLD,20160881,문영,2017-01-12,2260700,0.6,-1986300,-46.8,29350099,316,-200,-38.8,3908,21,38,2017-01-16,_K
9,9,-1,OLD,20149384,청일전쟁과 여걸 민비, ,408000,0.1,-115000,-22,3979000,204,-50,-19.7,1982,1,3,2017-01-16,_K
10,10,0,NEW,20155700,왕자 호동, ,360000,0.1,360000,100,1736000,180,180,100,868,1,3,2017-01-16,_K
1,1,0,OLD,20161872,너의 이름은.,2017-01-04,740590900,36.9,-1731469000,-70,20971424350,97566,-200714,-67.3,2586940,759,3685,2017-01-16,_F
2,2,0,OLD,20165443,모아나,2017-01-12,471774900,23.5,-1617853600,-77.4,5883360592,64650,-190562,-74.7,737870,780,3071,2017-01-16,_F
3,3,0,OLD,20168381,얼라이드,2017-01-11,280917000,14.0,-529305400,-65.3,3103081379,36848,-56719,-60.6,374737,521,1971,2017-01-16,_F
4,4,0,OLD,20164421,어쌔신 크리드,2017-01-11,154133400,7.7,-456935100,-74.8,2665057321,20210,-51873,-72,325520,546,1886,2017-01-16,_F
5,5,0,OLD,20167904,라라랜드,2016-12-07,134242400,6.7,-220927300,-62.2,24657443522,17258,-23030,-57.2,2941362,347,740,2017-01-16,_F
6,6,1,OLD,20161084,패신저스,2017-01-04,43373100,2.2,-103222800,-70.4,5412316418,5778,-11599,-66.7,660661,345,668,2017-01-16,_F
7,7,-1,OLD,20162025,씽,2016-12-21,31280800,1.6,-115165700,-78.6,13153454989,4431,-13662,-75.5,1714488,254,382,2017-01-16,_F
8,8,0,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,19781500,1.0,-103901500,-84,2586830700,2962,-12804,-81.2,349054,256,345,2017-01-16,_F
9,9,1,OLD,20167127,너브,2017-01-11,20343000,1.0,-20274700,-49.9,200988700,2629,-2045,-43.8,24482,131,268,2017-01-16,_F
10,10,-1,OLD,20168324,반지의 제왕 : 반지원정대 (확장판),2017-01-11,30521900,1.5,-49928900,-62.1,387398600,2267,-3743,-62.3,29224,74,132,2017-01-16,_F
1,1,0,OLD,20161872,너의 이름은.,2017-01-04,700870000,28.3,-39720900,-5.4,21672294350,93300,-4266,-4.4,2680240,788,3687,2017-01-17,
2,2,0,OLD,20165443,모아나,2017-01-12,547783700,22.1,76008800,16.1,6431144292,76621,11971,18.5,814491,802,3067,2017-01-17,
3,3,0,OLD,20161725,마스터,2016-12-21,271458000,11.0,-11085100,-3.9,57705690365,35981,-1028,-2.8,7104212,575,1847,2017-01-17,
4,4,0,OLD,20168381,얼라이드,2017-01-11,262659400,10.6,-18257600,-6.5,3365740779,34506,-2342,-6.4,409243,520,1951,2017-01-17,
5,5,1,OLD,20167904,라라랜드,2016-12-07,139514200,5.6,5271800,3.9,24796957722,17977,719,4.2,2959339,357,740,2017-01-17,
6,6,-1,OLD,20164421,어쌔신 크리드,2017-01-11,129974600,5.3,-24158800,-15.7,2795031921,16999,-3211,-15.9,342519,523,1801,2017-01-17,
7,7,2,OLD,20162025,씽,2016-12-21,43509100,1.8,12228300,39.1,13196964089,6390,1959,44.2,1720878,260,389,2017-01-17,
8,8,-1,OLD,20161084,패신저스,2017-01-04,41818000,1.7,-1555100,-3.6,5454134418,5624,-154,-2.7,666285,333,655,2017-01-17,
9,9,1,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,33634500,1.4,13853000,70,2620465200,5273,2311,78,354327,277,374,2017-01-17,
10,10,-2,OLD,20150966,사랑하기 때문에,2017-01-04,31703700,1.3,382100,1.2,2659815040,4607,174,3.9,338588,248,428,2017-01-17,
1,1,0,OLD,20161725,마스터,2016-12-21,271458000,70.1,-11085100,-3.9,57705690365,35981,-1028,-2.8,7104212,575,1847,2017-01-17,_K
2,2,0,OLD,20150966,사랑하기 때문에,2017-01-04,31703700,8.2,382100,1.2,2659815040,4607,174,3.9,338588,248,428,2017-01-17,_K
3,3,0,OLD,20151229,더 킹,2017-01-18,42615000,11.0,18331000,75.5,134384000,3894,1009,35,14012,23,23,2017-01-17,_K
4,4,0,OLD,20144641,판도라,2016-12-07,9923800,2.6,815600,9,36027487064,1564,182,13.2,4577138,59,95,2017-01-17,_K
5,5,0,NEW,20151228,공조,2017-01-18,8701000,2.2,8701000,100,126501300,1114,1114,100,14606,24,24,2017-01-17,_K
6,6,1,OLD,20151181,여교사,2017-01-04,8096600,2.1,2578700,46.7,925466260,1043,307,41.7,112774,53,80,2017-01-17,_K
7,7,-2,OLD,20163014,7년-그들이 없는 언론,2017-01-12,6383000,1.6,-1816200,-22.2,90792300,883,-264,-23,11469,96,154,2017-01-17,_K
8,8,0,NEW,19600018,하녀,1960-11-03,844000,0.2,844000,100,21374500,422,422,100,5397,1,5,2017-01-17,_K
9,9,-1,OLD,20160881,문영,2017-01-12,2342500,0.6,81800,3.6,31692599,330,14,4.4,4238,21,39,2017-01-17,_K
10,10,-4,OLD,20163845,터닝메카드W: 블랙미러의 부활,2017-01-18,1600000,0.4,-6248000,-79.6,13416000,200,-781,-79.6,1724,1,1,2017-01-17,_K
1,1,0,OLD,20161872,너의 이름은.,2017-01-04,700870000,33.6,-39720900,-5.4,21672294350,93300,-4266,-4.4,2680240,788,3687,2017-01-17,_F
2,2,0,OLD,20165443,모아나,2017-01-12,547783700,26.2,76008800,16.1,6431144292,76621,11971,18.5,814491,802,3067,2017-01-17,_F
3,3,0,OLD,20168381,얼라이드,2017-01-11,262659400,12.6,-18257600,-6.5,3365740779,34506,-2342,-6.4,409243,520,1951,2017-01-17,_F
4,4,1,OLD,20167904,라라랜드,2016-12-07,139514200,6.7,5271800,3.9,24796957722,17977,719,4.2,2959339,357,740,2017-01-17,_F
5,5,-1,OLD,20164421,어쌔신 크리드,2017-01-11,129974600,6.2,-24158800,-15.7,2795031921,16999,-3211,-15.9,342519,523,1801,2017-01-17,_F
6,6,1,OLD,20162025,씽,2016-12-21,43509100,2.1,12228300,39.1,13196964089,6390,1959,44.2,1720878,260,389,2017-01-17,_F
7,7,-1,OLD,20161084,패신저스,2017-01-04,41818000,2.0,-1555100,-3.6,5454134418,5624,-154,-2.7,666285,333,655,2017-01-17,_F
8,8,0,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,33634500,1.6,13853000,70,2620465200,5273,2311,78,354327,277,374,2017-01-17,_F
9,9,1,OLD,20168324,반지의 제왕 : 반지원정대 (확장판),2017-01-11,33943800,1.6,3421900,11.2,421342400,2591,324,14.3,31815,71,123,2017-01-17,_F
10,10,-1,OLD,20167127,너브,2017-01-11,19951700,1.0,-391300,-1.9,220940400,2586,-43,-1.6,27068,136,273,2017-01-17,_F
1,1,10,OLD,20151229,더 킹,2017-01-18,2197763200,45.7,2155148200,5057.3,2332147200,288966,285072,7320.8,302978,1125,5364,2017-01-18,
2,2,19,OLD,20151228,공조,2017-01-18,1145130100,23.8,1136429100,13060.9,1271631400,151845,150731,13530.6,166451,900,4126,2017-01-18,
3,3,-2,OLD,20161872,너의 이름은.,2017-01-04,435316300,9.1,-265553700,-37.9,22107610650,58068,-35232,-37.8,2738308,573,2060,2017-01-18,
4,4,35,OLD,20163845,터닝메카드W: 블랙미러의 부활,2017-01-18,334154700,7.0,332554700,20784.7,347570700,50159,49959,24979.5,51883,500,1249,2017-01-18,
5,5,-3,OLD,20165443,모아나,2017-01-12,336296600,7.0,-211487100,-38.6,6767440892,48075,-28546,-37.3,862566,593,1380,2017-01-18,
6,6,-2,OLD,20168381,얼라이드,2017-01-11,67761300,1.4,-194898100,-74.2,3433502079,8918,-25588,-74.2,418161,334,657,2017-01-18,
7,7,-2,OLD,20167904,라라랜드,2016-12-07,68492700,1.4,-71021500,-50.9,24865450422,8833,-9144,-50.9,2968172,225,392,2017-01-18,
8,8,-5,OLD,20161725,마스터,2016-12-21,44795700,0.9,-226662300,-83.5,57750486065,5939,-30042,-83.5,7110151,287,503,2017-01-18,
9,9,15,OLD,20168664,반지의 제왕 : 두개의 탑 (확장판),2017-01-18,41878600,0.9,31718600,312.2,52038600,3237,2403,288.1,4071,53,87,2017-01-18,
10,10,-1,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,12757600,0.3,-20876900,-62.1,2633222800,2343,-2930,-55.6,356670,62,67,2017-01-18,
1,1,2,OLD,20151229,더 킹,2017-01-18,2197763200,58.8,2155148200,5057.3,2332147200,288966,285072,7320.8,302978,1125,5364,2017-01-18,_K
2,2,3,OLD,20151228,공조,2017-01-18,1145130100,30.6,1136429100,13060.9,1271631400,151845,150731,13530.6,166451,900,4126,2017-01-18,_K
3,3,7,OLD,20163845,터닝메카드W: 블랙미러의 부활,2017-01-18,334154700,8.9,332554700,20784.7,347570700,50159,49959,24979.5,51883,500,1249,2017-01-18,_K
4,4,-3,OLD,20161725,마스터,2016-12-21,44795700,1.2,-226662300,-83.5,57750486065,5939,-30042,-83.5,7110151,287,503,2017-01-18,_K
5,5,2,OLD,20163014,7년-그들이 없는 언론,2017-01-12,4565700,0.1,-1817300,-28.5,95358000,621,-262,-29.7,12090,64,92,2017-01-18,_K
6,6,-2,OLD,20144641,판도라,2016-12-07,3050000,0.1,-6873800,-69.3,36030537064,504,-1060,-67.8,4577642,14,20,2017-01-18,_K
7,7,17,OLD,20161603,순종,2016-11-17,2999000,0.1,2960000,7589.7,410349200,359,354,7080,57523,3,3,2017-01-18,_K
8,8,0,OLD,19600018,하녀,1960-11-03,681000,0.0,-163000,-19.3,22055500,338,-84,-19.9,5735,1,5,2017-01-18,_K
9,9,-3,OLD,20151181,여교사,2017-01-04,2257700,0.1,-5838900,-72.1,927723960,293,-750,-71.9,113067,21,29,2017-01-18,_K
10,10,-1,OLD,20160881,문영,2017-01-12,1987000,0.1,-355500,-15.2,33679599,286,-44,-13.3,4524,17,26,2017-01-18,_K
1,1,0,OLD,20161872,너의 이름은.,2017-01-04,435316300,40.9,-265553700,-37.9,22107610650,58068,-35232,-37.8,2738308,573,2060,2017-01-18,_F
2,2,0,OLD,20165443,모아나,2017-01-12,336296600,31.6,-211487100,-38.6,6767440892,48075,-28546,-37.3,862566,593,1380,2017-01-18,_F
3,3,0,OLD,20168381,얼라이드,2017-01-11,67761300,6.4,-194898100,-74.2,3433502079,8918,-25588,-74.2,418161,334,657,2017-01-18,_F
4,4,0,OLD,20167904,라라랜드,2016-12-07,68492700,6.4,-71021500,-50.9,24865450422,8833,-9144,-50.9,2968172,225,392,2017-01-18,_F
5,5,12,OLD,20168664,반지의 제왕 : 두개의 탑 (확장판),2017-01-18,41878600,3.9,31718600,312.2,52038600,3237,2403,288.1,4071,53,87,2017-01-18,_F
6,6,2,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,12757600,1.2,-20876900,-62.1,2633222800,2343,-2930,-55.6,356670,62,67,2017-01-18,_F
7,7,20,OLD,20163186,단지 세상의 끝,2017-01-18,13685000,1.3,11390000,496.3,25948000,1830,1575,617.6,3390,92,158,2017-01-18,_F
8,8,-3,OLD,20164421,어쌔신 크리드,2017-01-11,13204100,1.2,-116770500,-89.8,2808236021,1792,-15207,-89.5,344311,185,244,2017-01-18,_F
9,9,-3,OLD,20162025,씽,2016-12-21,8830100,0.8,-34679000,-79.7,13205794189,1453,-4937,-77.3,1722331,43,52,2017-01-18,_F
10,10,3,OLD,20010130,빌리 엘리어트,2001-02-16,10534500,1.0,1208700,13,55947400,1431,-337,-19.1,8011,79,156,2017-01-18,_F
1,1,0,OLD,20151229,더 킹,2017-01-18,1810239800,43.2,-387523400,-17.6,4142387000,238039,-50927,-17.6,541017,1147,5395,2017-01-19,
2,2,0,OLD,20151228,공조,2017-01-18,1063411600,25.4,-81718500,-7.1,2335043000,141569,-10276,-6.8,308020,918,4157,2017-01-19,
3,3,0,OLD,20161872,너의 이름은.,2017-01-04,400685000,9.6,-34631300,-8,22508295650,53380,-4688,-8.1,2791688,601,2067,2017-01-19,
4,4,1,OLD,20165443,모아나,2017-01-12,366566500,8.8,30269900,9,7134007392,53001,4926,10.2,915567,605,1401,2017-01-19,
5,5,-1,OLD,20163845,터닝메카드W: 블랙미러의 부활,2017-01-18,189852600,4.5,-144302100,-43.2,537423300,27622,-22537,-44.9,79505,483,1197,2017-01-19,
6,6,1,OLD,20167904,라라랜드,2016-12-07,72219300,1.7,3726600,5.4,24937669722,9337,504,5.7,2977509,226,389,2017-01-19,
7,7,-1,OLD,20168381,얼라이드,2017-01-11,61999800,1.5,-5761500,-8.5,3495501879,8125,-793,-8.9,426286,338,644,2017-01-19,
8,8,0,OLD,20161725,마스터,2016-12-21,35580300,0.8,-9215400,-20.6,57786066365,4799,-1140,-19.2,7114950,289,485,2017-01-19,
9,9,0,OLD,20168664,반지의 제왕 : 두개의 탑 (확장판),2017-01-18,39515700,0.9,-2362900,-5.6,91554300,3048,-189,-5.8,7119,58,89,2017-01-19,
10,10,1,OLD,20163186,단지 세상의 끝,2017-01-18,19463400,0.5,5778400,42.2,45411400,2569,739,40.4,5959,124,204,2017-01-19,
1,1,0,OLD,20151229,더 킹,2017-01-18,1810239800,58.1,-387523400,-17.6,4142387000,238039,-50927,-17.6,541017,1147,5395,2017-01-19,_K
2,2,0,OLD,20151228,공조,2017-01-18,1063411600,34.1,-81718500,-7.1,2335043000,141569,-10276,-6.8,308020,918,4157,2017-01-19,_K
3,3,0,OLD,20163845,터닝메카드W: 블랙미러의 부활,2017-01-18,189852600,6.1,-144302100,-43.2,537423300,27622,-22537,-44.9,79505,483,1197,2017-01-19,_K
4,4,0,OLD,20161725,마스터,2016-12-21,35580300,1.1,-9215400,-20.6,57786066365,4799,-1140,-19.2,7114950,289,485,2017-01-19,_K
5,5,1,OLD,20144641,판도라,2016-12-07,3983000,0.1,933000,30.6,36034520064,667,163,32.3,4578309,20,24,2017-01-19,_K
6,6,-1,OLD,20163014,7년-그들이 없는 언론,2017-01-12,2964000,0.1,-1601700,-35.1,98322000,396,-225,-36.2,12486,57,67,2017-01-19,_K
7,7,0,NEW,20157631,다른 길이 있다,2017-01-19,2353500,0.1,2353500,100,10178500,325,325,100,1200,30,35,2017-01-19,_K
8,8,0,OLD,19600018,하녀,1960-11-03,567000,0.0,-114000,-16.7,22622500,281,-57,-16.9,6016,1,5,2017-01-19,_K
9,9,1,OLD,20160881,문영,2017-01-12,1720700,0.1,-266300,-13.4,35400299,235,-51,-17.8,4759,16,22,2017-01-19,_K
10,10,-1,OLD,20151181,여교사,2017-01-04,1638500,0.1,-619200,-27.4,929362460,224,-69,-23.5,113291,23,24,2017-01-19,_K
1,1,0,OLD,20161872,너의 이름은.,2017-01-04,400685000,37.4,-34631300,-8,22508295650,53380,-4688,-8.1,2791688,601,2067,2017-01-19,_F
2,2,0,OLD,20165443,모아나,2017-01-12,366566500,34.2,30269900,9,7134007392,53001,4926,10.2,915567,605,1401,2017-01-19,_F
3,3,1,OLD,20167904,라라랜드,2016-12-07,72219300,6.7,3726600,5.4,24937669722,9337,504,5.7,2977509,226,389,2017-01-19,_F
4,4,-1,OLD,20168381,얼라이드,2017-01-11,61999800,5.8,-5761500,-8.5,3495501879,8125,-793,-8.9,426286,338,644,2017-01-19,_F
5,5,0,OLD,20168664,반지의 제왕 : 두개의 탑 (확장판),2017-01-18,39515700,3.7,-2362900,-5.6,91554300,3048,-189,-5.8,7119,58,89,2017-01-19,_F
6,6,1,OLD,20163186,단지 세상의 끝,2017-01-18,19463400,1.8,5778400,42.2,45411400,2569,739,40.4,5959,124,204,2017-01-19,_F
7,7,-1,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,10439500,1.0,-2318100,-18.2,2643662300,1872,-471,-20.1,358542,52,55,2017-01-19,_F
8,8,2,OLD,20010130,빌리 엘리어트,2001-02-16,12269000,1.1,1734500,16.5,68216400,1659,228,15.9,9670,82,157,2017-01-19,_F
9,9,-1,OLD,20164421,어쌔신 크리드,2017-01-11,11368500,1.1,-1835600,-13.9,2819604521,1530,-262,-14.6,345841,172,219,2017-01-19,_F
10,10,8,OLD,20167324,라이언,2017-02-01,9938000,0.9,7810000,367,30715000,1404,1118,390.9,4142,9,9,2017-01-19,_F
1,1,0,OLD,20151229,더 킹,2017-01-18,2235092100,45.1,424852300,23.5,6377479100,261528,23489,9.9,802545,1188,5615,2017-01-20,
2,2,0,OLD,20151228,공조,2017-01-18,1350950693,27.3,287539093,27,3685993693,160116,18547,13.1,468136,938,4217,2017-01-20,
3,3,0,OLD,20161872,너의 이름은.,2017-01-04,467773193,9.4,67088193,16.7,22976068843,55958,2578,4.8,2847646,578,2063,2017-01-20,
4,4,0,OLD,20165443,모아나,2017-01-12,374653707,7.6,8087207,2.2,7508661099,48522,-4479,-8.5,964089,618,1436,2017-01-20,
5,5,0,OLD,20163845,터닝메카드W: 블랙미러의 부활,2017-01-18,145186700,2.9,-44665900,-23.5,682610000,18988,-8634,-31.3,98493,490,1192,2017-01-20,
6,6,0,OLD,20167904,라라랜드,2016-12-07,95834593,1.9,23615293,32.7,25033504315,10966,1629,17.4,2988475,228,413,2017-01-20,
7,7,0,OLD,20168381,얼라이드,2017-01-11,78991000,1.6,16991200,27.4,3574492879,9058,933,11.5,435344,329,645,2017-01-20,
8,8,0,OLD,20161725,마스터,2016-12-21,40896500,0.8,5316200,14.9,57826962865,4783,-16,-0.3,7119733,263,453,2017-01-20,
9,9,0,OLD,20168664,반지의 제왕 : 두개의 탑 (확장판),2017-01-18,43207400,0.9,3691700,9.3,134761700,3279,231,7.6,10398,53,85,2017-01-20,
10,10,0,OLD,20163186,단지 세상의 끝,2017-01-18,16682100,0.3,-2781300,-14.3,62093500,2019,-550,-21.4,7978,116,193,2017-01-20,
1,1,0,OLD,20151229,더 킹,2017-01-18,2235092100,59.0,424852300,23.5,6377479100,261528,23489,9.9,802545,1188,5615,2017-01-20,_K
2,2,0,OLD,20151228,공조,2017-01-18,1350950693,35.6,287539093,27,3685993693,160116,18547,13.1,468136,938,4217,2017-01-20,_K
3,3,0,OLD,20163845,터닝메카드W: 블랙미러의 부활,2017-01-18,145186700,3.8,-44665900,-23.5,682610000,18988,-8634,-31.3,98493,490,1192,2017-01-20,_K
4,4,0,OLD,20161725,마스터,2016-12-21,40896500,1.1,5316200,14.9,57826962865,4783,-16,-0.3,7119733,263,453,2017-01-20,_K
5,5,1,OLD,20163014,7년-그들이 없는 언론,2017-01-12,3416500,0.1,452500,15.3,101738500,457,61,15.4,12943,61,72,2017-01-20,_K
6,6,-1,OLD,20144641,판도라,2016-12-07,2724000,0.1,-1259000,-31.6,36037244064,424,-243,-36.4,4578733,19,23,2017-01-20,_K
7,7,4,OLD,20150966,사랑하기 때문에,2017-01-04,2711400,0.1,1778400,190.6,2664597440,416,247,146.2,339382,10,13,2017-01-20,_K
8,8,2,OLD,20151181,여교사,2017-01-04,2266000,0.1,627500,38.3,931628460,279,55,24.6,113570,20,26,2017-01-20,_K
9,9,14,OLD,20161603,순종,2016-11-17,2522000,0.1,2492000,8306.7,412901200,258,254,6350,57785,3,3,2017-01-20,_K
10,10,-1,OLD,20160881,문영,2017-01-12,1484500,0.0,-236200,-13.7,36884799,202,-33,-14,4961,15,19,2017-01-20,_K
1,1,0,OLD,20161872,너의 이름은.,2017-01-04,467773193,40.2,67088193,16.7,22976068843,55958,2578,4.8,2847646,578,2063,2017-01-20,_F
2,2,0,OLD,20165443,모아나,2017-01-12,374653707,32.2,8087207,2.2,7508661099,48522,-4479,-8.5,964089,618,1436,2017-01-20,_F
3,3,0,OLD,20167904,라라랜드,2016-12-07,95834593,8.2,23615293,32.7,25033504315,10966,1629,17.4,2988475,228,413,2017-01-20,_F
4,4,0,OLD,20168381,얼라이드,2017-01-11,78991000,6.8,16991200,27.4,3574492879,9058,933,11.5,435344,329,645,2017-01-20,_F
5,5,0,OLD,20168664,반지의 제왕 : 두개의 탑 (확장판),2017-01-18,43207400,3.7,3691700,9.3,134761700,3279,231,7.6,10398,53,85,2017-01-20,_F
6,6,0,OLD,20163186,단지 세상의 끝,2017-01-18,16682100,1.4,-2781300,-14.3,62093500,2019,-550,-21.4,7978,116,193,2017-01-20,_F
7,7,2,OLD,20164421,어쌔신 크리드,2017-01-11,14097500,1.2,2729000,24,2833702021,1709,179,11.7,347550,179,229,2017-01-20,_F
8,8,-1,OLD,20165153,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,8232400,0.7,-2207100,-21.1,2651894700,1427,-445,-23.8,359969,52,53,2017-01-20,_F
9,9,-1,OLD,20010130,빌리 엘리어트,2001-02-16,11404500,1.0,-864500,-7,79620900,1395,-264,-15.9,11065,80,145,2017-01-20,_F
10,10,1,OLD,20162025,씽,2016-12-21,5723900,0.5,-2595800,-31.2,13219837789,783,-513,-39.6,1724410,36,44,2017-01-20,_F
1,1,0,OLD,20151229,더 킹,2017-01-18,4490105729,42.2,2255013629,100.9,10867584829,524841,263313,100.7,1327386,1310,6092,2017-01-21,
2,2,0,OLD,20151228,공조,2017-01-18,2810573092,26.4,1459622399,108,6496566785,333625,173509,108.4,801761,976,4221,2017-01-21,
3,3,1,OLD,20165443,모아나,2017-01-12,1124354508,10.6,749700801,200.1,8633015607,141432,92910,191.5,1105521,715,1700,2017-01-21,
4,4,-1,OLD,20161872,너의 이름은.,2017-01-04,888981713,8.3,421208520,90,23865050556,107103,51145,91.4,2954749,605,1947,2017-01-21,
5,5,0,OLD,20163845,터닝메카드W: 블랙미러의 부활,2017-01-18,747597000,7.0,602410300,414.9,1430207000,97501,78513,413.5,195994,570,1487,2017-01-21,
6,6,0,OLD,20167904,라라랜드,2016-12-07,162176713,1.5,66342120,69.2,25195681028,18699,7733,70.5,3007174,243,425,2017-01-21,
7,7,0,OLD,20168381,얼라이드,2017-01-11,125779900,1.2,46788900,59.2,3700272779,14237,5179,57.2,449581,300,537,2017-01-21,
8,8,0,OLD,20161725,마스터,2016-12-21,68094500,0.6,27198000,66.5,57895057365,7865,3082,64.4,7127598,243,378,2017-01-21,
9,9,0,OLD,20168664,반지의 제왕 : 두개의 탑 (확장판),2017-01-18,64286200,0.6,21078800,48.8,199047900,5044,1765,53.8,15442,54,80,2017-01-21,
10,10,0,OLD,20163186,단지 세상의 끝,2017-01-18,21956100,0.2,5274000,31.6,84049600,2628,609,30.2,10606,114,163,2017-01-21,
1,1,0,OLD,20151229,더 킹,2017-01-18,4490105729,55.2,2255013629,100.9,10867584829,524841,263313,100.7,1327386,1310,6092,2017-01-21,_K
2,2,0,OLD,20151228,공조,2017-01-18,2810573092,34.5,1459622399,108,6496566785,333625,173509,108.4,801761,976,4221,2017-01-21,_K
